ETH Address, Stake, Tier, Participation Weight
0x819a...d2c6,154,5,1
0xaf65...e84c,152,5,1
0xd9c9...67d9,1000,3,4
0x3146...af50,1272,3,5
0x02c2...b179,1000,3,4
0xa417...fb07,1002,3,4
0x3f18...c2fa,1010,3,4
0xa609...8102,152,5,1
0x79f1...cb4c,1001,3,4
0x8e41...99a7,970,4,2
0x9e13...8215,1000,3,4
0xc63f...9c95,500,4,2
0x4614...b23a,503,4,2
0x0099...208b,1001,3,4
0x77ad...18ac,150,5,1
0xce72...59a3,1010,3,4
0x38d9...e8e3,1004,3,4
0xbaf7...c406,1756,3,7
0xc8ec...a778,1001,3,4
0xb7a1...1253,1278,3,5
0x1190...b27f,500,4,2
0x68ee...0ad8,169,5,1
0xb6a6...def7,155,5,1
0x70cc...c649,1000,3,4
0xe871...9ed2,510,4,2
0x933d...b244,1077,3,4
0x5834...286a,1027,3,4
0xc7c3...6706,500,4,2
0x3a09...9cc5,561,4,2
0x866d...49a9,179,5,1
0x145c...daa7,1001,3,4
0x4ebe...1893,1001,3,4
0x81e3...4f5f,1000,3,4
0x1920...6546,1947,3,7
0xb488...c98d,1002,3,4
0x8a31...d95d,1012,3,4
0xeb61...507e,501,4,2
0x704e...5f3c,1005,3,4
0xe5c2...4a4c,2070,3,8
0x7a78...f9d3,1001,3,4
0x9980...4f3b,1007,3,4
0x71e4...3e7f,500,4,2
0x86b4...fcf9,500,4,2
0x396b...d2aa,3001,3,12
0x5b9c...05bf,224,5,1
0x4db9...cf27,1000,3,4
0x1270...0069,1014,3,4
0xaf03...87af,670,4,2
0x637c...b7b8,1013,3,4
0xe0c2...5e2b,2750,3,11
0x431b...32b6,159,5,1
0x8e16...dcc4,1001,3,4
0x13f8...8c18,1000,3,4
0x7302...2f16,516,4,2
0x12e6...e14d,1577,3,6
0x00e3...2b8a,1016,3,4
0x5339...eb03,1008,3,4
0xa8d1...c116,501,4,2
0x39d4...5c92,2456,3,9
0xeb00...11c3,1010,3,4
