ETH Address, Tier, Wave, Is Promoted, Is CoolOff
0x007c...f7bc,1,1,false,false
0x0324...5df3,2,1,false,false
0x039e...37d9,1,1,false,false
0x03eb...98b6,2,1,false,false
0x04a7...5e6d,1,1,false,false
0x04e3...2bda,2,1,false,false
0x04f8...bb6e,1,1,false,false
0x04fd...4327,1,1,false,false
0x056a...28e0,2,1,false,false
0x05d0...28e6,2,1,false,false
0x0679...703e,1,1,false,false
0x07f4...8ac5,2,1,false,false
0x0826...177e,2,1,false,false
0x0827...b724,2,1,false,false
0x0862...de9c,2,1,false,false
0x0901...2aeb,2,1,false,false
0x0916...705f,2,1,false,false
0x09c1...7f71,2,1,false,false
0x09ff...bbf6,2,1,false,false
0x0a16...68d5,2,1,false,false
0x0aa4...9580,4,1,true,false
0x0ae2...df34,2,1,false,false
0x0b20...2bb6,2,1,false,false
0x0b88...6e8e,2,1,false,false
0x0b91...d15c,2,1,false,false
0x0c09...a31d,1,1,false,false
0x0c21...4fa5,2,1,false,false
0x0c7b...9b00,1,1,false,false
0x0c9f...a8e6,2,1,false,false
0x0ea7...8db3,2,1,false,false
0x0ee4...ad4f,2,1,false,false
0x0f22...1319,2,1,false,false
0x111a...bc54,2,1,false,false
0x112b...12aa,1,1,false,false
0x1151...315a,2,1,false,false
0x128b...45e5,2,1,false,false
0x129a...49d7,2,1,false,false
0x134a...3ad8,2,1,false,false
0x138f...e1b3,2,1,false,false
0x1437...ed1b,2,1,false,false
0x1552...eb2c,1,1,false,false
0x15de...8225,1,1,false,false
0x16b5...a684,2,1,false,false
0x16d1...b07d,2,1,false,false
0x178c...228c,2,1,false,false
0x185e...d2f0,1,1,false,false
0x1899...bd88,2,1,false,false
0x189f...e2c2,1,1,false,false
0x197e...9c07,2,1,false,false
0x1a34...da29,2,1,false,false
0x1a7f...03df,1,1,false,false
0x1aa0...cabe,1,1,false,false
0x1ae9...456a,3,1,true,false
0x1b82...fb84,2,1,false,false
0x1b95...4358,2,1,false,false
0x1c78...fbbc,2,1,false,false
0x1cc1...dff9,2,1,false,false
0x1d0a...350d,2,1,false,false
0x1e81...8e26,2,1,false,false
0x1fa4...db84,2,1,false,false
0x201a...0404,2,1,false,false
0x2020...5ebf,2,1,false,false
0x2050...8d64,2,1,false,false
0x206d...d805,1,1,false,false
0x21ec...4b85,2,1,false,false
0x22a1...bfee,2,1,false,false
0x2311...a996,2,1,false,false
0x231b...db21,2,1,false,false
0x239d...d963,2,1,false,false
0x2411...6210,2,1,false,false
0x248b...c1c5,2,1,false,false
0x253e...e5a1,2,1,false,false
0x2540...93ee,2,1,false,false
0x25fb...7070,2,1,false,false
0x263f...6cbb,1,1,false,false
0x2693...61d3,1,1,false,false
0x278d...589b,1,1,false,false
0x27d1...492c,2,1,false,false
0x27e3...ae6a,2,1,false,false
0x2842...58f2,2,1,false,false
0x28ea...daef,2,1,false,false
0x2946...debe,2,1,false,false
0x2954...36c9,2,1,false,false
0x2a51...92bb,2,1,false,false
0x2a9b...b53b,2,1,false,false
0x2b17...3403,2,1,false,false
0x2be5...96ef,1,1,false,false
0x2bf4...3c6b,2,1,false,false
0x2cbc...a951,1,1,false,false
0x2ea0...6c21,2,1,false,false
0x2ea8...0297,2,1,false,false
0x2eec...5ba6,2,1,false,false
0x2f18...754f,2,1,false,false
0x2fb5...8385,2,1,false,false
0x2fc9...0e36,2,1,false,false
0x302e...d2ad,1,1,false,false
0x308f...d709,2,1,false,false
0x30ad...55a7,1,1,false,false
0x3287...7408,2,1,false,false
0x32bb...e79e,2,1,false,false
0x32eb...7245,1,1,false,false
0x335f...2953,2,1,false,false
0x33ef...4435,2,1,false,false
0x33f6...833f,1,1,false,false
0x34b7...d0bc,2,1,false,false
0x34bb...9cdc,2,1,false,false
0x3537...e0de,2,1,false,false
0x3557...42cf,2,1,false,false
0x35e0...646b,1,1,false,false
0x36e0...52bd,3,1,true,false
0x3710...e1ee,2,1,false,false
0x3743...fc74,2,1,false,false
0x3764...b46c,2,1,false,false
0x390a...9c26,2,1,false,false
0x391d...8cd4,1,1,false,false
0x39a9...586a,3,1,true,false
0x3a4b...1b99,2,1,false,false
0x3a87...b2ab,2,1,false,false
0x3b97...05ef,2,1,false,false
0x3c73...7905,2,1,false,false
0x3c7e...9319,2,1,false,false
0x3d0d...c426,2,1,false,false
0x3e1c...1f43,2,1,false,false
0x3eff...fc7e,2,1,false,false
0x3f8a...e655,2,1,false,false
0x3f90...33e8,2,1,false,false
0x40c6...cef9,1,1,false,false
0x40d2...8087,2,1,false,false
0x40fe...1a63,2,1,false,false
0x41c9...4ec2,2,1,false,false
0x421f...5fe1,2,1,false,false
0x423b...a194,2,1,false,false
0x42cb...571a,2,1,false,false
0x43db...e302,2,1,false,false
0x4468...9a57,2,1,false,false
0x4490...5916,2,1,false,false
0x44ed...27cd,2,1,false,false
0x44fe...160d,2,1,false,false
0x4567...b605,2,1,false,false
0x4676...5947,1,1,false,false
0x4738...7af5,2,1,false,false
0x4753...fb44,2,1,false,false
0x48fa...dff7,2,1,false,false
0x4950...7137,2,1,false,false
0x4b62...e603,2,1,false,false
0x4b7e...5609,1,1,false,false
0x4c7c...67cc,2,1,false,false
0x4d05...780f,2,1,false,false
0x4d16...31a6,2,1,false,false
0x4d7f...77f6,2,1,false,false
0x4d9d...3e36,2,1,false,false
0x4dd5...e932,2,1,false,false
0x4df0...1201,2,1,false,false
0x4e2f...1721,1,1,false,false
0x4e46...2565,2,1,false,false
0x4e8e...a2eb,2,1,false,false
0x4ece...36f9,2,1,false,false
0x4ede...05a4,2,1,false,false
0x4fbe...ed8e,1,1,false,false
0x50ab...b943,2,1,false,false
0x50ee...1795,2,1,false,false
0x519b...b32e,2,1,false,false
0x5232...820f,1,1,false,false
0x52ee...26a5,2,1,false,false
0x5320...84d9,2,1,false,false
0x53d7...28ac,2,1,false,false
0x53ff...e784,2,1,false,false
0x54e0...e12a,1,1,false,false
0x56c0...22ce,2,1,false,false
0x56f1...69fc,2,1,false,false
0x5766...8827,2,1,false,false
0x577c...2b77,2,1,false,false
0x57ab...ff09,2,1,false,false
0x580c...b05b,2,1,false,false
0x5821...fbf7,2,1,false,false
0x5878...6f5c,1,1,false,false
0x589f...353d,2,1,false,false
0x59d0...f3dc,2,1,false,false
0x59f7...ccd8,2,1,false,false
0x5a01...0760,2,1,false,false
0x5a54...fd18,2,1,false,false
0x5ab2...fc44,2,1,false,false
0x5bb2...bf9a,2,1,false,false
0x5bbd...8ff9,2,1,false,false
0x5c11...6a7f,2,1,false,false
0x5c24...1d6b,2,1,false,false
0x5c4e...3f72,5,1,true,false
0x5c82...6122,2,1,false,false
0x5c83...7081,2,1,false,false
0x5da9...a606,1,1,false,false
0x5daf...2123,2,1,false,false
0x5e4e...3632,2,1,false,false
0x5e9c...b10c,2,1,false,false
0x5fb8...e0fa,2,1,false,false
0x6036...8223,2,1,false,false
0x6046...7e57,3,1,true,false
0x6158...3225,2,1,false,false
0x61eb...4828,2,1,false,false
0x6267...d6bb,1,1,false,false
0x6364...9b44,2,1,false,false
0x6367...191f,2,1,false,false
0x63cd...ce73,2,1,false,false
0x6413...f1b5,2,1,false,false
0x642a...f0d5,2,1,false,false
0x64af...38ff,2,1,false,false
0x65a4...cf3d,2,1,false,false
0x65d4...42de,1,1,false,false
0x6625...dfab,2,1,false,false
0x6637...0820,2,1,false,false
0x6687...1dc1,2,1,false,false
0x6895...e65f,2,1,false,false
0x6980...f2d8,2,1,false,false
0x6a96...a288,1,1,false,false
0x6b92...1e47,1,1,false,false
0x6e19...e51d,2,1,false,false
0x6e76...0424,1,1,false,false
0x6f24...affc,2,1,false,false
0x6f30...9242,2,1,false,false
0x6f36...60ad,1,1,false,false
0x7026...6653,2,1,false,false
0x705c...3f21,2,1,false,false
0x7082...4452,2,1,false,false
0x71c0...18ba,4,1,true,false
0x71e7...8271,2,1,false,false
0x7243...a9b5,2,1,false,false
0x724a...186e,2,1,false,false
0x7286...756f,2,1,false,false
0x7355...4faa,2,1,false,false
0x73a9...31d1,1,1,false,false
0x73b6...dff9,1,1,false,false
0x73db...209a,1,1,false,false
0x73e6...f6d4,2,1,false,false
0x7433...dbfa,2,1,false,false
0x74aa...5f73,2,1,false,false
0x74c6...0785,2,1,false,false
0x7543...d011,2,1,false,false
0x7570...64a6,2,1,false,false
0x75b1...0aae,1,1,false,false
0x76c4...265d,2,1,false,false
0x76f3...03db,5,1,true,false
0x7777...c8c1,1,1,false,false
0x77a6...8baf,1,1,false,false
0x780d...d263,2,1,false,false
0x786d...d576,1,1,false,false
0x78af...7021,2,1,false,false
0x7939...7b17,2,1,false,false
0x799d...f5bc,2,1,false,false
0x79f1...1b8b,1,1,false,false
0x7a0a...703d,2,1,false,false
0x7af7...38ca,2,1,false,false
0x7bb7...f889,2,1,false,false
0x7c12...35e1,2,1,false,false
0x7ccd...a50f,2,1,false,false
0x7cfa...1551,2,1,false,false
0x7d9a...ec8e,2,1,false,false
0x7e8c...40c0,2,1,false,false
0x7f08...9f07,2,1,false,false
0x7fe8...5246,2,1,false,false
0x802e...a8c8,2,1,false,false
0x803e...f4e8,2,1,false,false
0x80e1...2b6e,2,1,false,false
0x819a...88df,1,1,false,false
0x81c8...8a2d,2,1,false,false
0x82ca...3101,2,1,false,false
0x82cf...41f8,2,1,false,false
0x82e8...766a,2,1,false,false
0x8321...cd50,2,1,false,false
0x835a...15bb,2,1,false,false
0x8393...307a,2,1,false,false
0x8399...1475,2,1,false,false
0x84f1...0778,2,1,false,false
0x8508...a1b8,2,1,false,false
0x857d...9a9e,2,1,false,false
0x858e...7db4,1,1,false,false
0x85ca...f982,2,1,false,false
0x8639...1063,3,1,true,false
0x8642...9d49,2,1,false,false
0x864c...7766,2,1,false,false
0x86dd...9cde,2,1,false,false
0x873a...fc90,2,1,false,false
0x8883...7d25,2,1,false,false
0x8a58...b6f9,2,1,false,false
0x8abd...2140,2,1,false,false
0x8b19...19a4,2,1,false,false
0x8b60...70a3,2,1,false,false
0x8e98...6675,2,1,false,false
0x8eec...0e16,2,1,false,false
0x8f1c...74cb,2,1,false,false
0x8f39...2870,2,1,false,false
0x8fb1...7a6a,2,1,false,false
0x8fe0...bd1c,2,1,false,false
0x9077...5deb,1,1,false,false
0x90b7...fd0b,2,1,false,false
0x90bf...1e22,1,1,false,false
0x90d3...16c4,1,1,false,false
0x9143...1c1a,2,1,false,false
0x914b...c420,2,1,false,false
0x91a3...cbcd,2,1,false,false
0x91d6...54bf,2,1,false,false
0x921e...8e90,2,1,false,false
0x9291...c3e4,1,1,false,false
0x92de...710b,1,1,false,false
0x9342...8c2a,3,1,true,false
0x9408...52d0,2,1,false,false
0x946d...584d,1,1,false,false
0x948f...2811,1,1,false,false
0x94dc...4a96,2,1,false,false
0x9517...dfef,2,1,false,false
0x952c...bc95,2,1,false,false
0x9567...83b0,2,1,false,false
0x956e...5b74,1,1,false,false
0x9652...eb10,2,1,false,false
0x9680...e379,1,1,false,false
0x976d...7cf4,2,1,false,false
0x9796...59be,2,1,false,false
0x97cd...f050,2,1,false,false
0x9842...9e06,1,1,false,false
0x9887...baff,2,1,false,false
0x9902...d2d7,2,1,false,false
0x9a6a...f025,2,1,false,false
0x9bcb...70ec,2,1,false,false
0x9bcc...3cfe,2,1,false,false
0x9c03...2ce3,2,1,false,false
0x9ca4...ccbf,1,1,false,false
0x9d8f...af32,2,1,false,false
0xa198...c58a,2,1,false,false
0xa1e8...552b,2,1,false,false
0xa237...481d,2,1,false,false
0xa23a...d443,2,1,false,false
0xa241...da68,2,1,false,false
0xa2dc...697b,1,1,false,false
0xa3f8...eeb8,1,1,false,false
0xa415...0fcd,2,1,false,false
0xa45b...6b8d,2,1,false,false
0xa4a7...fec0,1,1,false,false
0xa5aa...3954,2,1,false,false
0xa5f0...bc8e,2,1,false,false
0xa64a...8893,1,1,false,false
0xa70b...86dd,2,1,false,false
0xa7ba...8fce,2,1,false,false
0xa802...d79e,2,1,false,false
0xa8c6...cb40,2,1,false,false
0xab5a...de7f,3,1,true,false
0xabb3...488a,2,1,false,false
0xace1...f82d,2,1,false,false
0xad25...b733,1,1,false,false
0xad9d...1fb3,2,1,false,false
0xadc0...0ab1,2,1,false,false
0xae01...687b,2,1,false,false
0xae36...f19b,1,1,false,false
0xaf79...32b0,2,1,false,false
0xafb2...ae95,2,1,false,false
0xb16a...318d,2,1,false,false
0xb1a0...234e,2,1,false,false
0xb1b6...7b76,2,1,false,false
0xb1ce...74e1,2,1,false,false
0xb264...5b98,2,1,false,false
0xb2c5...c6b2,1,1,false,false
0xb347...2dec,1,1,false,false
0xb3d8...71b1,2,1,false,false
0xb3d8...f64e,2,1,false,false
0xb50b...38e4,2,1,false,false
0xb574...7e47,2,1,false,false
0xb598...038c,1,1,false,false
0xb5c6...23cc,2,1,false,false
0xb5ca...81c3,2,1,false,false
0xb623...7efb,2,1,false,false
