ETH Address, Stake, Tier, Participation Weight
0x2d90...99d4,500,4,2
0x3238...5564,500,4,2
0x8ae7...b9e5,1020,3,4
0xac79...7ea1,1016,3,4
0x7362...4b22,1000,3,4
0x5a01...0760,1000,3,4
0xa75f...84e9,1012,3,4
0xb07a...6d3c,1003,3,4
0xb17d...d97e,1001,3,4
0x3890...3a5c,502,4,2
0xaa26...e3bf,1000,3,4
0x1fa2...4869,1001,3,4
0x2411...6210,1132,3,4
0x4ee0...3d17,1005,3,4
0x7591...c6e2,1001,3,4
0xcbfd...ceb4,1012,3,4
0x1617...c181,1015,3,4
0x5142...5013,503,4,2
0x082c...c878,1020,3,4
0xb0ca...b203,1010,3,4
0x64c8...9100,1264,3,5
0xca61...111b,1036,3,4
0xa9a4...e2d6,1001,3,4
0x0602...185b,501,4,2
0x82b4...c00b,150,5,1
0x4761...e31f,502,4,2
0x64a2...e289,1000,3,4
0xf890...837a,1489,3,5
0xea16...8af3,1007,3,4
0xb57b...35c8,1005,3,4
0xfb07...c3f8,1001,3,4
0x9a33...34bf,1006,3,4
0xcee4...68aa,1005,3,4
0x87d0...665e,1040,3,4
0xb3b8...881b,1232,3,4
0xed42...dc6d,1016,3,4
0x0451...44d7,1501,3,6
0x39a9...586a,1002,3,4
0xe0c2...5e2b,2750,3,11
0x11e7...3bf0,1111,3,4
0xea19...a9d0,1002,3,4
0x8ca9...45d2,1001,3,4
0x9a08...7205,1006,3,4
0x7d96...e3b7,1000,3,4
0xfa51...4dff,1033,3,4
0xd7ae...3909,500,4,2
0x5661...7eeb,1652,3,6
0xbf05...0b9e,1013,3,4
0xd64e...36e6,500,4,2
0xef9d...416f,504,4,2
0x4f83...e1b6,1013,3,4
0xac0b...e903,1000,3,4
0x0e8e...4f57,150,5,1
0x3078...424c,2086,3,8
0xcbb5...b4c3,150,5,1
0x9980...4f3b,1007,3,4
0x52c2...fac9,150,5,1
0xc205...1bda,1027,3,4
0xe472...9029,1009,3,4
0x40b5...a863,1010,3,4
0x2765...df73,1005,3,4
0xfac1...a191,3617,3,14
0x7a92...1545,500,4,2
0x77cc...c4d6,1603,3,6
0x3e76...45ad,1010,3,4
0x3aed...091a,509,4,2
0x15d1...5b39,500,4,2
0xee0b...f39f,1750,3,7
0xcac2...7981,1008,3,4
0xcee7...35b3,1000,3,4
0x5072...9de1,1069,3,4
0x4660...9980,1549,3,6
0x0b0d...6944,1000,3,4
0x69cf...1b6e,1035,3,4
0x5775...52fb,153,5,1
0xb30f...cb8d,507,4,2
0x34ea...f448,199,5,1
0xd522...4add,1521,3,6
0x1682...4efb,1019,3,4
0xb132...3ec5,1000,3,4
0x4362...c417,1001,3,4
0x8a31...d95d,1012,3,4
0x7358...bfea,1012,3,4
0xf421...ca7a,1001,3,4
0x3567...2dae,500,4,2
0x9e46...a8cf,150,5,1
0x409b...9f00,150,5,1
0xea69...40ff,1000,3,4
0x5d0d...f2ab,1027,3,4
0x7b10...cba6,1000,3,4
0xb488...c98d,1002,3,4
0xf6b9...aa1c,151,5,1
0xccd9...f58e,515,4,2
0xf20f...1906,1006,3,4
0xee53...22bc,1002,3,4
0x0538...91b2,1000,3,4
0x245b...b55c,1018,3,4
0x512e...8fa3,514,4,2
0x32d9...b74e,1008,3,4
0xa0ac...013d,1000,3,4
0x0f1b...04f5,150,5,1
0x4047...697b,150,5,1
0x012d...9ea7,1022,3,4
0xf21c...5cc8,1001,3,4
0x6932...5424,1000,3,4
0x1708...f578,1018,3,4
0x2c6a...d472,1013,3,4
0x26e7...dff0,152,5,1
0x9a77...8faa,1000,3,4
0x01ed...c55e,506,4,2
0xd260...35fc,1003,3,4
0x11c4...9142,1007,3,4
0xf052...c987,150,5,1
0xcf73...059c,568,4,2
0x6100...9ebf,513,4,2
0x02c2...b179,1000,3,4
0x197c...9ffa,1059,3,4
0x6b30...b9f1,150,5,1
0xf50e...c8e0,511,4,2
0x2b2d...4b9a,500,4,2
0x32e6...154c,505,4,2
0xbccb...ed91,150,5,1
0x960d...ebe8,1001,3,4
0x56af...6efc,523,4,2
0x354f...63d4,1053,3,4
0x1e78...5207,1000,3,4
0x05fb...64fa,1021,3,4
0x2a1b...923a,219,5,1
0x9c3d...7664,1195,3,4
0xdc88...51f4,1002,3,4
0xa417...fb07,1002,3,4
0x0a5c...cc22,1511,3,6
0x4e54...69bf,1000,3,4
0x73b6...82f8,1026,3,4
0x422c...c5dd,1000,3,4
0x4851...7129,150,5,1
0x4c73...9f7f,151,5,1
0xfaf2...d1c6,501,4,2
0x97d3...a281,1001,3,4
0xd51a...98ff,1002,3,4
0xa7e4...7c43,1006,3,4
0x81dc...b794,1004,3,4
0x7269...2613,1025,3,4
0xdf2e...dc80,1000,3,4
0x80e7...88b7,1501,3,6
0x99f6...a375,1006,3,4
0xdc72...54ae,1000,3,4
0xed6e...e1b4,1000,3,4
0xa7db...30c7,180,5,1
0x084a...09f1,1058,3,4
0x16c8...5d07,507,4,2
0xc74d...77f0,1000,3,4
0x68c3...c44c,638,4,2
0x4f7c...30d7,500,4,2
0xb9fd...1c40,1001,3,4
0x25ff...895a,1000,3,4
0x1c72...03a2,1045,3,4
0x3703...bac0,1000,3,4
0x38ed...7314,150,5,1
0x22d8...036a,1000,3,4
0x3a96...f08c,1001,3,4
0xd434...bc86,1150,3,4
0x00e3...2b8a,1016,3,4
0xb58a...5262,1005,3,4
