ETH Address,Stake,Tier,Participation
0x7b10...cba6,1000,3,4
0x98a6...ae5a,1505,3,6
0x78d0...ba97,300,5,1
0xff38...85ed,162,5,1
0x4ba1...213e,1010,3,4
0xfffe...854c,1567,3,6
0xa95f...d3de,514,4,2
0x8f7a...70e4,500,4,2
0x58a5...3c5e,1003,3,4
0x354f...63d4,1053,3,4
0x6d6d...8855,518,4,2
0x84be...7abd,1000,3,4
0x0e26...dadb,1001,3,4
0xb676...5bce,1000,3,4
0x0752...c807,1007,3,4
0x25ff...895a,1000,3,4
0x2fbe...373a,1000,3,4
0x6bc1...fd7f,1000,3,4
0x2ad9...8d14,1010,3,4
0x960d...ebe8,1001,3,4
0x431b...32b6,646,4,2
0x202c...c4ac,502,4,2
0xe7c0...16ed,1000,3,4
0x87d2...07b0,500,4,2
0x3033...d915,1005,3,4
0xda50...1843,153,5,1
0xc4c6...ef09,1365,3,5
0x63a5...4c74,1001,3,4
0xf3cc...48b3,1016,3,4
0xd2e8...b7d1,1000,3,4
0xd522...4add,1521,3,6
0x7a92...1545,500,4,2
0x9e46...a8cf,150,5,1
0xdffd...c976,2401,3,9
0xb2e1...efd2,3927,3,15
0xc37e...2ca7,1000,3,4
0xfbde...b2a2,1002,3,4
0x1762...da39,500,4,2
0xfde6...408b,1991,3,7
0x2b2d...4b9a,500,4,2
0x1c9d...adc5,1089,3,4
0xdb6d...500b,1000,3,4
0x87f5...a695,1033,3,4
0x5e88...2818,2260,3,9
0xf3b4...ebe6,2100,3,8
0x9a9c...de85,1500,3,6
0x1682...4efb,1019,3,4
0x81dc...b794,1004,3,4
0x72c5...9b76,1008,3,4
0xd522...4add,1521,3,6
0x5d20...2b8f,1019,3,4
0xa57c...0d73,1001,3,4
0x98d4...5990,1149,3,4
0xa3ca...907d,3028,3,12
0x77cc...c4d6,1603,3,6
0xe7c0...16ed,1000,3,4
0x0102...4825,1010,3,4
0xa57c...0d73,1001,3,4
0x4ced...32d6,1003,3,4
0x5d0d...f2ab,1027,3,4
0xa3ca...907d,3028,3,12
0x373b...ce96,1001,3,4
0x2411...4949,1042,3,4
