ETH Address,Stake,Tier,Participation
0x980b...53a2,2001,3,8
0x4fa8...0133,1590,3,6
0xb10f...cb11,1026,3,4
0xc8fd...c8e1,502,4,2
0xd166...61ec,1001,3,4
0x1c72...03a2,1045,3,4
0x252e...8586,1064,3,4
0x49cb...d672,3383,3,13
0x8571...49ce,500,4,2
0x9264...e2d8,1001,3,4
0x4f2e...4360,1150,3,4
0x80e7...88b7,1001,3,4
0x602b...dcd1,501,4,2
0xed42...dc6d,1016,3,4
0x145c...daa7,1001,3,4
0xbcf1...8bf7,1011,3,4
0x11c0...04f6,1130,3,4
0x11c4...9142,1007,3,4
0x3146...af50,1272,3,5
0x148a...e04e,1002,3,4
0xc832...0a0e,507,4,2
0x8bd2...8b94,1000,3,4
0xbeaf...1313,1000,3,4
0x7e0b...2b29,1000,3,4
0x8bd2...8b94,1000,3,4
0xf18c...e9ff,1003,3,4
0x980b...53a2,2001,3,8
0xe6c6...f43c,500,4,2
0x5dcf...ded7,1057,3,4
0x42e2...fb22,1000,3,4
0x6eb4...03e4,2000,3,8
0x85e0...df70,200,5,1
0xc600...127e,1008,3,4
0x584d...14ac,1025,3,4
0x1536...221e,152,5,1
0x11c7...b2e0,500,4,2
0xd4a0...1ee3,1910,3,7
0xed42...dc6d,1016,3,4
0xf37e...61d1,1002,3,4
0x64c8...9100,507,4,2
0x754a...e5c1,1553,3,6
0xf71f...fd48,2598,3,10
0x6f83...ab5c,151,5,1
0x9980...4f3b,1007,3,4
0x99f6...a375,1006,3,4
0x6adc...08fc,150,5,1
0x5e5a...e622,500,4,2
0xe1a2...c67a,1001,3,4
0xb7e0...7c5c,1003,3,4
0x86bf...743b,1000,3,4
0x64a2...e289,502,4,2
0xf21c...5cc8,1001,3,4
0xa1f9...9609,1201,3,4
0x0538...91b2,1000,3,4
0x04c1...a1aa,1021,3,4
0xb47f...cad3,150,5,1
0x26d1...6f19,1004,3,4
0xad36...2b36,1072,3,4
0xb587...3806,152,5,1
0x8f86...0fb2,1315,3,5
0x88c0...62ab,1000,3,4
0x0793...f126,1002,3,4
0xe35e...23c2,1000,3,4
0x2609...6a99,1000,3,4
0xb880...bacd,1000,3,4
0x6229...c742,1002,3,4
0x23f8...0724,150,5,1
0x49cb...d672,3383,3,13
0x4ebe...1893,1001,3,4
0x252e...8586,1064,3,4
0x4a1b...9068,1250,3,5
0x00e9...d60a,1000,3,4
0xcee4...68aa,1005,3,4
0xd114...b6c4,1369,3,5
0x9ba9...fe11,236,5,1
0xa7db...30c7,180,5,1
0x0752...c807,501,4,2
0x22a3...5128,501,4,2
0xc583...5d5c,1008,3,4
0x93cf...f568,1010,3,4
0x8bd2...8b94,1000,3,4
0xed6e...e1b4,1000,3,4
0x7a35...e347,2344,3,9
0xeda4...eed9,1414,3,5
0xef30...1f02,1084,3,4
0xe3f7...86dc,1010,3,4
0xc464...8e5f,1071,3,4
0x6fd6...d7c7,1000,3,4
0xb677...7add,1012,3,4
0x5394...42d8,1013,3,4
0x34e2...fe50,1250,3,5
0x4c92...2d71,1002,3,4
0x5bd0...eb8e,500,4,2
0x6f76...c933,1530,3,6
0xb1c7...38e3,1000,3,4
0x7361...fda6,2219,3,8
0xc29c...9496,153,5,1
0xad3f...6606,519,4,2
0x0052...52c1,500,4,2
0x68b3...16db,674,4,2
0xb3b8...881b,1232,3,4
0x1a67...10b1,1000,3,4
0xc627...ca7e,1250,3,5
0xd8d0...4477,181,5,1
0xe0c2...5e2b,2750,3,11
0x6d6d...8855,518,4,2
0x947f...74d2,2263,3,9
0xbf86...74cb,1000,3,4
0xbcf1...8bf7,1011,3,4
0x12e6...e14d,1577,3,6
0xfc88...c03e,500,4,2
0xf71f...fd48,2598,3,10
0x69d5...32b5,150,5,1
0x0916...705f,1008,3,4
0x754a...e5c1,1553,3,6
0x1c72...03a2,1045,3,4
0x4886...b25d,551,4,2
0x991f...4be1,1000,3,4
0x0aa4...9580,500,4,2
0xd4ad...740d,1050,3,4
0x409b...9f00,150,5,1
0xea69...40ff,506,4,2
0xd045...9e44,1019,3,4
0xa1fb...6492,1015,3,4
0x0b76...5612,150,5,1
0x1a67...10b1,1000,3,4
0xce6c...6894,1000,3,4
0x4e9b...39d6,362,5,1
