ETH Address,Stake,Tier,Participation
0x685c...8bc9,1085,3,4
0x3d7f...8383,1257,3,5
0x3703...bac0,1000,3,4
0x17b3...557b,1471,3,5
0x4e70...711e,150,5,1
0xb104...9d86,512,4,2
0x4362...c417,1001,3,4
0x7676...112d,505,4,2
0x7934...be39,1118,3,4
0xc066...bc28,150,5,1
0xd6a5...ba07,501,4,2
0x0cb0...59c8,503,4,2
0x4cad...f9be,1543,3,6
0x6932...5424,1000,3,4
0x0b46...dfca,1004,3,4
0xe0c2...5e2b,2750,3,11
0x485e...bb88,1140,3,4
0xc600...127e,1008,3,4
0x98d4...5990,1149,3,4
0x7408...5f92,155,5,1
0xa417...fb07,1002,3,4
0x2d6c...0116,155,5,1
0xeb20...6eaa,1000,3,4
0xb9fd...1c40,1001,3,4
0x1c9d...adc5,1089,3,4
0xc37e...2ca7,1000,3,4
0xaac1...0ef1,1028,3,4
0x6932...5424,1000,3,4
0x4362...c417,1001,3,4
0x0748...c8cd,212,5,1
0x9054...3e47,1021,3,4
0xd30c...7967,1000,3,4
0x1167...9a78,1059,3,4
0x3f3b...940d,1000,3,4
0x4660...216f,155,5,1
0xd5ae...bc26,1000,3,4
0xbce5...0150,1000,3,4
0xddd2...9d32,500,4,2
0xaf03...87af,1005,3,4
0xe7c0...16ed,1000,3,4
0x12fb...df48,1000,3,4
0x87f3...ad43,155,5,1
0x43ba...7162,1014,3,4
0x0474...5a85,1000,3,4
0x5242...8620,302,5,1
0x3a87...5732,1010,3,4
0x81dc...b794,1004,3,4
0x090c...5f2c,1070,3,4
0x2c6a...d472,1013,3,4
0xbce5...0150,1000,3,4
0x24e2...45bf,1019,3,4
0x25d9...159d,508,4,2
0x470f...8b95,1038,3,4
0x1617...c181,1015,3,4
0x3fea...f831,1007,3,4
0x5661...7eeb,1652,3,6
0xb30f...cb8d,507,4,2
0x3a87...5732,1010,3,4
0x128c...4d22,1009,3,4
0xf097...610e,1000,3,4
0x69cf...4919,1170,3,4
0x373b...ce96,1001,3,4
0x5a06...53cd,1010,3,4
0xc115...2021,1000,3,4
0xd740...7371,1008,3,4
0x235f...22d2,1002,3,4
0x470f...8b95,1038,3,4
0x3fea...f831,1007,3,4
0x8a87...ef98,1000,3,4
0xa95f...d3de,514,4,2
0x4a51...6b04,503,4,2
0xfcc0...b598,501,4,2
0xbf05...0b9e,1013,3,4
0x4cad...f9be,1543,3,6
0xc832...0a0e,507,4,2
0x5dc3...a310,158,5,1
0x60dd...2d44,150,5,1
0xc115...2021,1000,3,4
0xde67...8aa3,1015,3,4
0xfa10...7714,1009,3,4
0x46db...df70,513,4,2
0x5e5a...e622,500,4,2
0xf0a9...424a,153,5,1
0xe8cb...936f,1034,3,4
0x8b3b...a981,502,4,2
0xa75f...84e9,1012,3,4
0xf5ed...cca6,500,4,2
0xceb4...0e1c,507,4,2
0x12fb...df48,1000,3,4
0x831c...c4e7,1002,3,4
0xf603...4f82,150,5,1
0x72c5...9b76,1008,3,4
0x1cae...63ad,1000,3,4
0xf20f...1906,1006,3,4
0xfb07...c3f8,1001,3,4
0x7a92...1545,500,4,2
0xb0ca...b203,1010,3,4
0x9054...3e47,1021,3,4
0xfde6...408b,1991,3,7
0x2c6a...d472,1013,3,4
0x9980...4f3b,1007,3,4
0x9054...3e47,1021,3,4
0x00e9...d60a,1000,3,4
0x50ba...b055,1000,3,4
0xd30c...7967,1000,3,4
0xe0c2...5e2b,2750,3,11
0x8ceb...f1ee,1064,3,4
0xa57c...0d73,1001,3,4
0x4cad...f9be,1543,3,6
0xe8cb...936f,1034,3,4
0x97d3...a281,1001,3,4
0x2863...8031,1201,3,4
0xf20f...1906,1006,3,4
0x7e41...7d6c,1027,3,4
