ETH Address, Stake, Tier, Participation Weight
0x99dd...4093,1010,3,4
0xce3f...3c06,1000,3,4
0x79f1...cb4c,1001,3,4
0xd97a...9dc8,1050,3,4
0xa1fb...6492,1015,3,4
0x32d5...5c8e,1018,3,4
0xe6c9...ad57,1010,3,4
0xd8bf...25a4,1524,3,6
0xc404...a385,2870,3,11
0xaa26...e3bf,151,5,1
0xf3c3...600f,1009,3,4
0x86c8...cf6e,501,4,2
0x4f90...c48a,1000,3,4
0xea16...8af3,1007,3,4
0x39cf...a497,1000,3,4
0x71f4...0bf8,1105,3,4
0xb2e1...efd2,1502,3,6
0xa079...50c7,150,5,1
0x69cf...1b6e,1035,3,4
0x185d...e3e6,526,4,2
0x6437...c60e,1000,3,4
0x7676...9973,150,5,1
0xfac1...a191,2617,3,10
0xfaa7...b1a4,1010,3,4
0xc456...5f3e,203,5,1
0x2348...35e1,1040,3,4
0x5339...eb03,1001,3,4
0x038a...0bb7,2038,3,8
0x0382...9c73,1002,3,4
0x685c...8bc9,1085,3,4
0x608b...dc47,500,4,2
0x32b8...074b,1000,3,4
0x486c...a180,150,5,1
0xd3ae...77e7,1004,3,4
0x9054...3e47,1021,3,4
0x9642...1059,1002,3,4
0x02c2...b179,1000,3,4
0xdfa1...122a,376,5,1
0x4b54...36a0,503,4,2
0x620c...775b,177,5,1
0xa338...a60f,150,5,1
0x7ef4...5370,1554,3,6
0x773e...2446,1019,3,4
0x4e54...69bf,1000,3,4
0x4e65...c954,1000,3,4
0x5ffc...aa6c,1000,3,4
0x38da...f93f,1008,3,4
0xd915...83fc,1000,3,4
0x8c7f...4619,154,5,1
0x4886...b25d,551,4,2
0xe35e...23c2,1000,3,4
0x80e7...88b7,1001,3,4
0xc874...2a4e,592,4,2
0xd5bf...8e42,157,5,1
0xfd78...8601,1250,3,5
0x3958...f104,150,5,1
0x3667...f4b8,158,5,1
0x1643...fb98,1020,3,4
0x4cf2...f852,1013,3,4
0xc24d...27e8,1000,3,4
0xe232...f822,500,4,2
0x4393...1d4e,1000,3,4
0xc66f...f707,1001,3,4
0x67a8...2eb6,503,4,2
0x2ad9...8d14,1010,3,4
0xbd84...6a35,1000,3,4
0xbdcb...0e9d,502,4,2
0x12dd...91e2,1001,3,4
0x7c72...8797,150,5,1
0x1ca8...1f2a,151,5,1
0x4ee0...3d17,1005,3,4
0x3a09...9cc5,1006,3,4
0x4e7d...34e0,1000,3,4
0xad36...2b36,1072,3,4
0x0d51...d862,500,4,2
0x3bb7...305c,501,4,2
0xfb34...3413,500,4,2
0x1e85...a8f5,220,5,1
0xed42...dc6d,1016,3,4
0xefb9...5ea0,1153,3,4
0x41f2...e9b7,1000,3,4
0x97c5...07e3,155,5,1
0x5602...6791,1005,3,4
0xb6ae...e316,160,5,1
0xd114...b6c4,1369,3,5
0xeda4...eed9,1414,3,5
0xfa2e...d5b6,153,5,1
0x69d2...eb80,1529,3,6
0x3dc4...51cf,501,4,2
0x140e...d5aa,503,4,2
0xc313...a108,215,5,1
0xd624...d0c1,502,4,2
0x0fcc...ddda,500,4,2
0x61f4...75d3,1002,3,4
0x6099...615d,1000,3,4
0xdf98...51e7,519,4,2
0xc445...f9e7,1273,3,5
0x5d1a...b6e3,3016,3,12
0x5111...728d,1011,3,4
0xfea8...e23f,1335,3,5
0x8932...3f12,152,5,1
0x1167...9a78,1059,3,4
0x3d34...bcc7,500,4,2
0x962e...ad1b,240,5,1
0xb07a...6d3c,1003,3,4
0x1960...2e37,1004,3,4
0xb0ba...e57e,150,5,1
0x2765...df73,1005,3,4
0x3bb1...b618,1000,3,4
0xfe84...8cb8,1000,3,4
0x11c0...04f6,1130,3,4
0xb7c3...7821,1250,3,5
0xc115...2021,151,5,1
0x81e3...4f5f,1000,3,4
0x77d2...eb8a,1250,3,5
0xb880...bacd,1000,3,4
0x2c0b...afc3,1001,3,4
0xe472...9029,505,4,2
0xda5c...e326,150,5,1
0xa8b9...46c6,1003,3,4
0xa39e...8314,1000,3,4
0xe802...4887,652,4,2
0xeb8d...f35f,1002,3,4
0x00e3...2b8a,1016,3,4
