ETH Address, Stake, Tier, Participation Weight
0x3aab...f261,153,5,1
0x7d37...b204,1000,3,4
0x82de...5910,438,5,1
0xfd3b...5f0b,1010,3,4
0xa179...0789,157,5,1
0xf710...439e,150,5,1
0xb231...528b,151,5,1
0x0d51...d862,500,4,2
0xb3b8...881b,1232,3,4
0x3356...0379,513,4,2
0x36e0...52bd,1000,3,4
0x754a...e5c1,1553,3,6
0x8011...d0bb,150,5,1
0x8881...06c3,1000,3,4
0xdaf6...a240,1450,3,5
0x97a8...cd95,1219,3,4
0xc224...b059,160,5,1
0x1ca8...1f2a,151,5,1
0x7054...62c4,1015,3,4
0x0d97...56d1,150,5,1
0xa8ea...cc22,1000,3,4
0x4f83...e1b6,1013,3,4
0x8a31...d95d,1012,3,4
0x5c24...1d6b,3052,3,12
0xd24d...53fa,1002,3,4
0xaa67...c1f0,155,5,1
0xf0a2...3e07,151,5,1
0x07c9...f109,1005,3,4
0x98c4...7b5f,150,5,1
0x579a...d5e5,1002,3,4
0x6100...9ebf,513,4,2
0x980b...53a2,2001,3,8
0xbefc...db98,1036,3,4
0x3a73...4ad7,1028,3,4
0xd4e9...d2cc,639,4,2
0xdf2e...dc80,1000,3,4
0x760e...e8fe,1006,3,4
0xbe43...5e0b,1514,3,6
0x6b2b...fb65,1016,3,4
0xc74d...77f0,1000,3,4
0x69d5...18eb,1509,3,6
0x7a35...e347,2344,3,9
0xd9c9...67d9,1000,3,4
0xb47e...66ac,501,4,2
0x26a5...e144,502,4,2
0x11c4...9142,1007,3,4
0x148a...e04e,1002,3,4
0xd58e...ef7e,150,5,1
0x1785...bbdd,1005,3,4
0x0474...5a85,1000,3,4
0x5c38...75dc,504,4,2
0x66d8...2494,1627,3,6
0x6eb4...03e4,2000,3,8
0x0b44...654e,1006,3,4
0xf21c...5cc8,1001,3,4
0x0b6c...f28f,1391,3,5
0x2f67...03b9,500,4,2
0xc8ec...a778,1001,3,4
0x025a...69dc,285,5,1
0xbaf7...c406,1756,3,7
0xc1d7...5ced,500,4,2
0x9aba...872a,1026,3,4
0x1bb9...775d,154,5,1
0x9ec3...d999,1009,3,4
0x3d39...568b,500,4,2
0x7615...c4d7,500,4,2
0x2804...ea94,1000,3,4
0xf14d...5a9f,1000,3,4
0xb0b4...d83a,155,5,1
0xa7d6...2520,500,4,2
0xe5cc...9f4e,1050,3,4
0xeaf5...0fe1,500,4,2
0x6d6d...8855,518,4,2
0xfff5...b455,1010,3,4
0xd193...174b,2257,3,9
0x5e47...2178,1000,3,4
