ETH Address,Stake,Tier,Participation
0x4448...07ee,1036,3,4
0xb8be...c344,152,5,1
0xc445...f9e7,1273,3,5
0x5baa...0348,515,4,2
0x52ce...122c,510,4,2
0x7463...0124,1046,3,4
0x09f1...b3c9,504,4,2
0xcc4e...1949,256,5,1
0x6100...9ebf,513,4,2
0xfe37...9f2a,1003,3,4
0x33d7...9ab7,1014,3,4
0x0717...a857,1000,3,4
0xeb00...11c3,1010,3,4
0x4eff...98b5,150,5,1
0x5602...6791,1005,3,4
0x0e26...dadb,1001,3,4
0x9c4c...f509,1001,3,4
0xd4ad...740d,1050,3,4
0x3d5d...3d7e,151,5,1
0xbefc...db98,1042,3,4
0x00ac...d697,2081,3,8
0xf65c...879a,159,5,1
0xb463...22c9,500,4,2
0x8571...49ce,500,4,2
0x11c7...b2e0,500,4,2
0xc18a...25ab,502,4,2
0xdaab...4363,501,4,2
0xcee4...68aa,1005,3,4
0x28bf...9322,507,4,2
0x5466...f544,511,4,2
0x2411...4949,1042,3,4
0x6c17...a444,1000,3,4
0x64c8...9100,1007,3,4
0x10f1...83b7,501,4,2
0x13f8...8c18,1000,3,4
0xc24d...27e8,1000,3,4
0x277e...933a,150,5,1
0x33d7...9ab7,1014,3,4
0xac30...74d0,150,5,1
0x4006...6d15,157,5,1
0xf46d...3171,1042,3,4
0xad88...c82c,535,4,2
0xcd10...2fa9,525,4,2
0xc0af...89ee,152,5,1
0xa417...fb07,1002,3,4
0x8c7f...4619,154,5,1
0x522e...691d,633,4,2
0xb488...c98d,1002,3,4
0xce77...2799,666,4,2
0x9a27...6bce,150,5,1
0xd114...b6c4,1369,3,5
0x2ce3...1635,503,4,2
0x8016...c8b6,500,4,2
0xc304...3fb5,1000,3,4
0x648e...0e33,1008,3,4
0x4f21...d00e,1007,3,4
0x9ec3...d999,1009,3,4
0x2b67...358f,1010,3,4
0x0a51...5773,1034,3,4
0x360f...cc95,1000,3,4
0xd2f1...9a08,163,5,1
0x4ba1...213e,160,5,1
0x2ab9...e2dc,1072,3,4
0xbd78...afaa,1003,3,4
0x5775...52fb,153,5,1
0x6a9d...7a20,204,5,1
0xbcf1...8bf7,1011,3,4
0x090c...5f2c,1021,3,4
0xea19...a9d0,500,4,2
0x6f66...e856,1095,3,4
0x26da...c726,1094,3,4
0xb7a1...1253,1278,3,5
0x1c72...03a2,1045,3,4
0xd51a...98ff,1002,3,4
0xe35e...23c2,1000,3,4
0x088d...bca6,1019,3,4
0x5427...dc66,150,5,1
0x45ba...cba6,1000,3,4
0xf18c...e9ff,1003,3,4
0x81e3...4f5f,1000,3,4
0x6b2b...fb65,1016,3,4
0x0837...d50f,152,5,1
0x2863...8031,1201,3,4
0xc404...a385,1001,3,4
0xf1e2...6129,1001,3,4
0x21f2...b313,1004,3,4
0x9054...3e47,1021,3,4
0x89e4...c382,160,5,1
0xe35e...23c2,1000,3,4
0x2443...3332,151,5,1
0xe0c2...5e2b,2750,3,11
0x86bf...743b,1000,3,4
0xb117...1432,1035,3,4
0xf21c...5cc8,1001,3,4
0x087f...554b,1328,3,5
0xcfbe...cf5c,1042,3,4
0x773e...2446,1019,3,4
0x7a01...6b01,253,5,1
0x11c0...04f6,1130,3,4
0xeb00...11c3,1010,3,4
0x7bbc...eadf,500,4,2
0xa169...6a2e,151,5,1
0x0b40...4f11,298,5,1
0xd30c...7967,2175,3,8
0x087f...554b,1328,3,5
0xd30c...7967,2175,3,8
0x148a...e04e,1002,3,4
0x68da...8e9a,1000,3,4
0x98c4...7b5f,150,5,1
0x8ca9...45d2,1001,3,4
0xf097...610e,1000,3,4
0xbe4b...7b74,151,5,1
0x86fe...f277,152,5,1
0x85b8...c928,1095,3,4
0x9a63...9976,156,5,1
0x579a...d5e5,1002,3,4
0x3769...5c12,500,4,2
0xc3c9...00a5,500,4,2
0x6437...c60e,1000,3,4
0xc526...4cd3,506,4,2
0xea4c...6554,154,5,1
0x0500...b9c4,2265,3,9
0x252e...8586,1064,3,4
0xe35e...23c2,1000,3,4
0xc8e0...b819,168,5,1
0xf21c...5cc8,1001,3,4
0x00ac...d697,2081,3,8
0x77cc...c4d6,500,4,2
0xc73f...3258,1010,3,4
0xbcca...4154,150,5,1
0x591b...e4be,501,4,2
0x44c9...e42e,500,4,2
0xf1e2...6129,1001,3,4
0x7820...a730,1009,3,4
0xbefc...db98,1042,3,4
0xc205...1bda,1027,3,4
0x8f7a...70e4,500,4,2
0xc464...8e5f,1071,3,4
0x197f...7d4b,1104,3,4
0x2863...c589,1002,3,4
0xa3ca...907d,1010,3,4
0x933d...b244,1077,3,4
0x23d3...5936,1002,3,4
0x0ada...b347,876,4,2
0x9617...d0de,1000,3,4
0x6641...e72e,1002,3,4
0xf3cc...48b3,1016,3,4
0x1e9b...72d4,501,4,2
0x522e...691d,633,4,2
0x5be2...f5bf,531,4,2
0x4254...b20f,1000,3,4
0xb488...c98d,1002,3,4
0x70cc...c649,1000,3,4
0x95f4...3b04,1009,3,4
0x754a...e5c1,1553,3,6
0xadda...928b,291,5,1
0xed6e...e1b4,1000,3,4
0x470c...beca,376,5,1
0xde78...9c71,1023,3,4
0x00f3...131b,1000,3,4
0x21f2...b313,1004,3,4
0x6eb4...03e4,2000,3,8
0x71f4...0bf8,1105,3,4
0xe771...b807,1107,3,4
0xcad3...700b,1013,3,4
0x32e6...154c,505,4,2
0x696a...a56c,500,4,2
0x1762...da39,153,5,1
0x0edd...1f40,150,5,1
0x3a09...9cc5,1006,3,4
0x2ab9...e2dc,1072,3,4
0x5d1a...b6e3,1516,3,6
0xcd10...bd42,1000,3,4
0x1dc1...8a20,151,5,1
0xc7da...f9cc,203,5,1
0x721e...b771,600,4,2
0x7de3...14d5,150,5,1
0x8f86...0fb2,1315,3,5
0x79d8...acf9,500,4,2
0xb1c7...38e3,1000,3,4
0x4b54...36a0,503,4,2
0x773e...2446,1019,3,4
0xf4c4...ef5c,150,5,1
0x947f...74d2,2263,3,9
0x7cbd...d05d,2001,3,8
0xa4a7...f3e6,1001,3,4
0x465d...d894,514,4,2
0x831c...c4e7,1002,3,4
0xa172...bff0,150,5,1
0x61f4...75d3,1002,3,4
0x3a96...f08c,1001,3,4
0x8a42...be70,150,5,1
0x6725...264b,500,4,2
0x23d3...5936,1002,3,4
0x19bb...1cc4,155,5,1
0xc159...69c8,160,5,1
0xb1c7...38e3,1000,3,4
0x148a...e04e,1002,3,4
0x8e5e...a80f,1010,3,4
0x6fd6...d7c7,1000,3,4
0xfaca...8884,1740,3,6
0x058a...b4e1,151,5,1
0x0500...b9c4,2265,3,9
0xc697...5e0e,1007,3,4
0x5c50...437c,1050,3,4
0xe011...5b54,1000,3,4
0x9054...3e47,1021,3,4
0x3dba...e310,1000,3,4
0x2c0b...afc3,1001,3,4
0x3bb1...b618,1000,3,4
0xa4a7...f3e6,1001,3,4
0x71f4...0bf8,1105,3,4
0x61f4...75d3,1002,3,4
0xb132...3ec5,1000,3,4
0x0cbf...d692,1109,3,4
0x0a51...5773,1034,3,4
0x3d35...318c,155,5,1
0x409b...9f00,150,5,1
0xe859...05af,501,4,2
0x3567...2dae,500,4,2
0xee5e...d4b4,1007,3,4
0x8e5e...a80f,1010,3,4
0x9054...3e47,1021,3,4
0x0752...c807,501,4,2
0xa417...fb07,1002,3,4
0x2ce3...1635,503,4,2
0x5c98...e3cb,1549,3,6
0x1eb9...9854,150,5,1
0xd6a5...ba07,501,4,2
0x183e...120e,1006,3,4
0x2af4...b350,1010,3,4
0xaee9...f049,500,4,2
0x7820...a730,1009,3,4
0x0052...52c1,500,4,2
0x1371...befb,1000,3,4
0xc697...5e0e,1007,3,4
0xfbde...b2a2,1002,3,4
0xbf86...74cb,1000,3,4
0x1190...b27f,750,4,2
0x33d7...9ab7,1014,3,4
0x28bf...9322,507,4,2
0x57fb...cbbb,2006,3,8
0x4a51...6b04,503,4,2
0x8ca9...45d2,1001,3,4
0x5b56...e83f,254,5,1
0xc24d...27e8,1000,3,4
0x9530...6cfa,510,4,2
0x947f...74d2,2263,3,9
0x608b...dc47,500,4,2
0x9264...e2d8,1001,3,4
0x8f86...0fb2,1315,3,5
0xd9c9...67d9,1000,3,4
0xee15...420b,1006,3,4
0xc1de...41b7,520,4,2
0x11c0...04f6,1130,3,4
0x9de2...5a61,521,4,2
0x61e2...ebf1,1010,3,4
0x4590...662b,157,5,1
0xe0c2...5e2b,2750,3,11
0xbd78...afaa,1003,3,4
0x1643...fb98,1020,3,4
0xf0a2...3e07,151,5,1
0xaac4...d604,150,5,1
0x82b7...369e,173,5,1
0x0cbf...d692,1109,3,4
0x302d...5ade,501,4,2
0x70f8...df1a,156,5,1
0x4bf0...8e01,150,5,1
0x0538...91b2,1000,3,4
0x9121...39f5,510,4,2
0x5c98...e3cb,1549,3,6
0xe712...526a,150,5,1
0xfe84...8cb8,1000,3,4
0x41f2...e9b7,1000,3,4
0x57fb...cbbb,2006,3,8
0xa674...504c,1010,3,4
0x3238...5564,500,4,2
0x23d3...5936,1002,3,4
0x2099...c80c,153,5,1
0x380d...b101,503,4,2
0x0a51...5773,1034,3,4
0x23d3...5936,1002,3,4
0x9ec3...d999,1009,3,4
0x43ba...7162,1014,3,4
0x8a30...bfc8,501,4,2
0x6b30...b9f1,150,5,1
0x6265...c58a,1151,3,4
0xa674...504c,1010,3,4
0x7841...8dbc,1000,3,4
0xa338...a60f,150,5,1
0x4362...c417,1001,3,4
0x4388...240a,152,5,1
0xcc45...a3a0,256,5,1
0x0ba9...e8f5,504,4,2
0x416b...6730,1000,3,4
0x21fe...7a02,155,5,1
0xfe37...9f2a,1003,3,4
0x64c8...9100,1007,3,4
0xae59...83c2,1408,3,5
0x9e7f...805f,150,5,1
0x6eb4...03e4,2000,3,8
0xbbcb...0f62,150,5,1
0x06be...e5eb,1040,3,4
0x93cf...f568,1010,3,4
0xf5d6...610f,1000,3,4
0x490e...4d0a,503,4,2
0x0dfd...ee28,516,4,2
0xad36...2b36,1072,3,4
0x431b...32b6,159,5,1
0x8ceb...f1ee,1009,3,4
0xbf80...32a1,150,5,1
0x6265...c58a,1151,3,4
0xd0f5...7912,1015,3,4
0xf204...3baa,500,4,2
0x980b...53a2,2001,3,8
0xfde6...408b,1002,3,4
0x9a08...7205,1006,3,4
0x66be...5347,517,4,2
0xd30c...7967,2175,3,8
0x3769...5c12,500,4,2
0x49cb...d672,3383,3,13
0x088d...bca6,1019,3,4
0xfa51...4dff,1033,3,4
0x5c22...c7ec,160,5,1
0x00ac...d697,2081,3,8
