ETH Address,Stake,Tier,Participation
0x7776...d693,300,5,1
0x1c46...8479,152,5,1
0xc8ec...a778,1001,3,4
0xe12d...cfc9,150,5,1
0x12e6...e14d,1577,3,6
0x6d3f...c63c,500,4,2
0x9bb9...0d34,1015,3,4
0xf78c...b3c5,648,4,2
0x8ceb...f1ee,1009,3,4
0x29bd...e120,182,5,1
0x622a...49c8,1001,3,4
0x011d...fc83,1000,3,4
0xe73e...0f6f,166,5,1
0x0717...a857,1000,3,4
0x760e...e8fe,1006,3,4
0xe8b4...67b4,152,5,1
0x69cb...e3f2,2100,3,8
0xa55f...d148,155,5,1
0xd4ad...740d,1050,3,4
0x5722...9e5f,1001,3,4
0x61f2...0745,568,4,2
0x69d2...eb80,1529,3,6
0x9e13...8215,1000,3,4
0x325a...20b0,151,5,1
0x622a...49c8,1001,3,4
0x818d...5c50,1000,3,4
0x0a5c...cc22,1511,3,6
0x8647...d6df,1000,3,4
0xbeca...bab3,1137,3,4
0xc627...ca7e,1250,3,5
0x5602...0428,2109,3,8
0xfd46...6a41,1005,3,4
0xac88...b1a8,505,4,2
0x6d34...e4a4,515,4,2
0x3df0...46d1,1000,3,4
0x1644...e7c7,1731,3,6
0xbe43...5e0b,1514,3,6
0xd1cb...ad5a,1004,3,4
0x3806...02e7,1007,3,4
0xe771...b807,502,4,2
0x1a01...4981,1005,3,4
0x4cd6...68b5,150,5,1
0x8ff4...e515,316,5,1
0x7d0c...a705,152,5,1
0x83fb...4d17,505,4,2
0x2381...ce3b,1001,3,4
0x0d51...d862,500,4,2
0xbe43...5e0b,1514,3,6
0xec02...6be1,1002,3,4
0x49cb...d672,3383,3,13
0x9424...d9dc,1013,3,4
0xf7e1...38f6,1005,3,4
0xdeeb...b319,500,4,2
0x2f06...16c5,188,5,1
0x816d...cb79,1010,3,4
0xc675...9a84,150,5,1
0x87e0...48b3,268,5,1
0xeaf5...0fe1,500,4,2
0xfaca...8884,1740,3,6
0x029c...13ad,503,4,2
0xbf86...74cb,1000,3,4
0xf421...ca7a,500,4,2
0x03d0...c791,150,5,1
0x2804...ea94,1000,3,4
0xa6c9...2165,1543,3,6
0xd1c6...f3e2,1073,3,4
0x1d7a...f400,500,4,2
0x2b67...358f,724,4,2
0xed29...4996,218,5,1
0xaa22...3873,1054,3,4
0xf9f8...5974,608,4,2
0xeda4...eed9,1414,3,5
0x4b62...e603,3001,3,12
0x0693...522e,1002,3,4
0xe5c2...4a4c,2056,3,8
0x736c...c7b5,501,4,2
0xb623...7efb,1006,3,4
0x39b0...8cf7,150,5,1
0xb10f...cb11,1026,3,4
0x4b62...e603,3001,3,12
0x6f76...c933,1069,3,4
0xfa7d...e3ac,1000,3,4
0x919c...5a42,353,5,1
0xfce4...4eee,150,5,1
0x972f...661f,1000,3,4
0xb104...9d86,512,4,2
0x9537...2b96,2703,3,10
0x8883...7d25,1002,3,4
0x6762...3fac,501,4,2
0xf21c...5cc8,1001,3,4
0x03a0...3184,1009,3,4
0x0ba9...e8f5,504,4,2
0x5091...18d2,155,5,1
0xa88e...1f22,1005,3,4
0xaee9...f049,500,4,2
0x7a35...e347,2344,3,9
0x8571...49ce,500,4,2
0xc627...ca7e,1250,3,5
0xceae...035c,1500,3,6
0x1443...71c1,273,5,1
0xcc4e...1949,256,5,1
0x0f9c...b328,500,4,2
0xc5f5...e311,500,4,2
0xb5a6...f0e2,153,5,1
0x2050...8d64,1000,3,4
0x6e69...b3c4,170,5,1
0x57fb...cbbb,2006,3,8
0x9537...2b96,2703,3,10
0x3d52...0e63,1521,3,6
0x0770...b916,1115,3,4
0x00e3...2b8a,1016,3,4
0x630c...1010,170,5,1
0x87e9...a142,1162,3,4
0x0f3a...5353,1002,3,4
0x947f...74d2,2263,3,9
0x53cf...31e7,1002,3,4
0x1a34...da29,1814,3,7
0xbbb9...b813,153,5,1
0x9be4...bcae,500,4,2
0x3c7b...b82c,1001,3,4
0xd30c...7967,1006,3,4
0x60dd...21ed,153,5,1
0x1089...4b57,154,5,1
0xfea8...e23f,1213,3,4
0x8bee...8b06,1321,3,5
0xa538...8c0e,331,5,1
0x4b62...e603,3001,3,12
0x7280...9879,151,5,1
0x810f...93bb,1000,3,4
0x189f...c136,1560,3,6
0x0d74...89ce,150,5,1
0x0916...705f,1008,3,4
0x68b3...16db,674,4,2
0x8771...eb0a,155,5,1
0x0e26...dadb,1001,3,4
0xc082...71a7,506,4,2
0x8629...d6b3,1038,3,4
0x986c...1e7e,249,5,1
0x82cf...41f8,1007,3,4
0x6b12...5328,151,5,1
0x943d...d469,1004,3,4
0xe180...f95c,1013,3,4
0x1fa2...4869,625,4,2
0xbfad...ad6c,1000,3,4
0x5602...0428,2109,3,8
0xf3b7...e657,500,4,2
0x4fbc...90e1,2029,3,8
0xfa7d...e3ac,1000,3,4
0x0972...3913,1008,3,4
0x4fbc...90e1,2029,3,8
0xe51c...e238,500,4,2
0xd52e...c023,150,5,1
0xb676...c44c,1000,3,4
0x6046...7e57,1004,3,4
0x0538...91b2,1000,3,4
0x9424...d9dc,1013,3,4
0x0c4a...bdb7,300,5,1
0x8881...06c3,1000,3,4
0x947f...74d2,2263,3,9
0x1920...6546,1933,3,7
0xcf0b...b798,501,4,2
0x9537...2b96,2703,3,10
0x0584...ad8c,1004,3,4
0x760e...e8fe,1006,3,4
0x99f6...a375,1006,3,4
0x9e13...8215,1000,3,4
0xa88e...1f22,1005,3,4
0xc32c...e8eb,1003,3,4
0xbc1a...71e4,504,4,2
0x6d34...e4a4,515,4,2
0x607c...393d,506,4,2
0x9e13...8215,1000,3,4
0xee83...b793,1001,3,4
0x247f...deb8,1007,3,4
0x544c...fa76,1007,3,4
0x5f2d...2d55,251,5,1
0xb1ac...3a56,150,5,1
0xe859...05af,501,4,2
0x3806...02e7,1007,3,4
0x12cf...041b,153,5,1
0x61f2...0745,568,4,2
0xdcfa...cae3,507,4,2
0x0916...705f,1008,3,4
0x8e5e...a80f,1010,3,4
0x6934...9345,1000,3,4
0xd6e9...b990,150,5,1
0x2a1b...923a,219,5,1
0xb306...5985,1277,3,5
0xbf86...74cb,1000,3,4
0xa1f9...9609,1201,3,4
0xd52d...9550,1002,3,4
0xf69c...d7ee,200,5,1
0x55fe...c104,401,5,1
0xb3cf...155c,1000,3,4
0xfd3b...5f0b,1002,3,4
0x4b05...7b5c,1250,3,5
0x057e...99fb,164,5,1
0x92ca...192d,1000,3,4
0x8e97...00e8,237,5,1
0xe969...0e12,151,5,1
0x69cb...e3f2,2100,3,8
0xcdce...cee1,2018,3,8
0xad36...2b36,1072,3,4
0xf1ba...5788,1070,3,4
0xec0a...ec56,505,4,2
0x78cb...70f6,150,5,1
0x7b56...57a2,1011,3,4
0x197f...7d4b,1104,3,4
0xf0a4...fa37,1222,3,4
0xd8d0...4477,181,5,1
0x6d36...e513,2002,3,8
0xf7e1...38f6,1005,3,4
0x6106...fef9,151,5,1
0x8e0d...6247,500,4,2
0x9537...2b96,2703,3,10
0xecea...2647,723,4,2
0x1ae9...456a,1013,3,4
0x69cb...e3f2,2100,3,8
0xfa45...bc28,500,4,2
0xc3c9...4fd5,1029,3,4
0x39a9...586a,500,4,2
0x6f29...28bc,500,4,2
0xbb34...368f,353,5,1
0xceae...035c,1500,3,6
0x0538...91b2,1000,3,4
0xf21c...5cc8,1001,3,4
0x725b...924f,1000,3,4
0x9a7d...0b1d,1000,3,4
0xc583...5d5c,1008,3,4
0xb623...7efb,1006,3,4
0xf64d...09b0,243,5,1
0x35a2...4b81,1503,3,6
0xc4f0...b914,1350,3,5
0xa195...e312,150,5,1
0x0cf4...a9fa,1083,3,4
0x4dd5...e932,2421,3,9
0x69cb...e3f2,2100,3,8
0x135d...0470,512,4,2
0x2521...1a80,500,4,2
0xb676...c44c,1000,3,4
0xc600...127e,1008,3,4
0x9d9b...c9b2,500,4,2
0x71b0...1e3b,1431,3,5
0x810f...93bb,1000,3,4
0x1a34...da29,1814,3,7
0x4e54...69bf,1000,3,4
0xaba6...4ba9,150,5,1
0x3a96...f08c,154,5,1
0x4d00...1933,260,5,1
0xbc27...b04d,265,5,1
0xc06a...99a0,1656,3,6
0x57fb...cbbb,2006,3,8
0x3986...6f04,154,5,1
0xea3a...d3b0,1003,3,4
0x011d...fc83,1000,3,4
0xacbb...0e5a,522,4,2
0x69cb...e3f2,2100,3,8
0x5602...0428,2109,3,8
0xceae...035c,1500,3,6
0x08a3...c1df,2000,3,8
0xace8...7488,151,5,1
0xd58b...dbf2,1328,3,5
0x5e47...2178,1000,3,4
0x7a71...ef5c,153,5,1
0xc284...c712,559,4,2
0xa8bd...d25b,501,4,2
0x845a...c4f9,1000,3,4
0x2af6...a1c1,500,4,2
0x02c2...b179,1000,3,4
0xfa7d...e3ac,1000,3,4
0xceae...035c,1500,3,6
0x751e...da2b,190,5,1
0xb306...5985,1277,3,5
0x5242...8620,152,5,1
0x6b9b...1b58,500,4,2
0xb8d6...cb2d,167,5,1
0xa6ba...6cdb,195,5,1
0xfc70...4507,1033,3,4
0x83a3...a3be,1057,3,4
0x3c7b...b82c,1001,3,4
0x514a...a250,1001,3,4
0x4dd5...e932,2421,3,9
0x9a7d...0b1d,1000,3,4
0x5967...a437,1011,3,4
0x544c...fa76,1007,3,4
0x86ef...3197,154,5,1
0x833d...29bf,1074,3,4
0x3da2...5fa9,181,5,1
0x31b0...4bc1,150,5,1
0xcf0b...b798,501,4,2
0x1045...28ac,1015,3,4
0xefb9...5ea0,1000,3,4
0xb10f...cb11,1026,3,4
0x3146...af50,1272,3,5
0xb2e2...0175,1000,3,4
0x53e4...8e31,509,4,2
0x08a3...c1df,2000,3,8
0xf0ef...084b,151,5,1
0xef18...4391,150,5,1
0xac25...d2ec,1000,3,4
0x354f...63d4,504,4,2
0x874c...bb22,500,4,2
0x1e74...e11c,1050,3,4
0xf204...3baa,319,5,1
0x571a...e2e1,155,5,1
0xd98a...2101,169,5,1
0xdf3f...0404,1000,3,4
0x9292...02c0,225,5,1
0xecdd...be7d,3049,3,12
0x8ceb...f1ee,1009,3,4
0xdb9d...37ca,1004,3,4
0xc600...127e,1008,3,4
0x754a...e5c1,556,4,2
0xaf65...e84c,152,5,1
0x4ced...32d6,418,5,1
0x9424...d9dc,1013,3,4
0xbc1d...490d,160,5,1
0x7619...e538,257,5,1
0x09f1...b3c9,504,4,2
0xac25...d2ec,1000,3,4
0x43c9...42db,550,4,2
0x514a...a250,1001,3,4
0x5c93...a1ec,1083,3,4
0x4db9...cf27,504,4,2
0xeaf5...0fe1,500,4,2
0x7df2...c549,600,4,2
0x6a6e...f147,1005,3,4
0x0f9c...b328,500,4,2
0x4e7d...34e0,1000,3,4
0x12e6...e14d,1577,3,6
0x72c4...a91a,1521,3,6
0x7f58...41c2,1004,3,4
0x531a...bb4f,150,5,1
0x1c72...d414,510,4,2
0x7c11...8a44,503,4,2
0xa6c9...2165,1543,3,6
0xbe43...5e0b,1514,3,6
0x0972...3913,1008,3,4
0xdce6...c9d5,165,5,1
0x5ac6...231e,1007,3,4
0x39a9...586a,500,4,2
0xd52d...9550,1002,3,4
0x54de...b2dc,500,4,2
0x9bb9...0d34,1015,3,4
0xd0f5...7912,1015,3,4
0x08a3...c1df,2000,3,8
0xb8d1...87ae,1113,3,4
0x0b4e...2de9,503,4,2
0xa677...bf0d,1000,3,4
0x18a4...0c7f,300,5,1
0xd30c...7967,1006,3,4
0x833d...29bf,1074,3,4
0xf989...340e,505,4,2
0x04e3...2bda,2016,3,8
0xd4d1...34c4,1000,3,4
0xee83...b793,1001,3,4
0x22c4...73f0,200,5,1
0x23d3...5936,501,4,2
0xdc5d...aefc,1001,3,4
0x49cb...d672,3383,3,13
0x14b5...ea0c,556,4,2
0x421a...c2c7,500,4,2
0xba88...4c57,1001,3,4
0x53cf...31e7,1002,3,4
0xeda4...eed9,1414,3,5
0x7bd3...0b37,1000,3,4
0xad36...2b36,1072,3,4
0x5c93...a1ec,1083,3,4
0xb306...5985,1277,3,5
0xf320...4bec,1015,3,4
0x8b19...19a4,1052,3,4
0x09f1...b3c9,504,4,2
0x6e8a...1a07,528,4,2
0x637c...b7b8,1013,3,4
0xb10f...cb11,1026,3,4
0x736c...c7b5,501,4,2
0xb223...9f2c,150,5,1
0x2381...ce3b,1001,3,4
0x14ed...83a4,1001,3,4
0x3d39...568b,500,4,2
0x0adc...9e94,155,5,1
0x32b4...3bb1,1000,3,4
0x8629...d6b3,1038,3,4
0x8cf6...ba5b,500,4,2
0x38d9...e8e3,1004,3,4
0xc832...0a0e,507,4,2
0x1082...23bc,153,5,1
0xaa6c...8edc,153,5,1
0xecdd...be7d,3049,3,12
0xd1cb...ad5a,1004,3,4
0x05b2...0711,150,5,1
0xa1f9...9609,1201,3,4
0xf3d7...853e,150,5,1
0x725b...924f,1000,3,4
0x3356...0379,513,4,2
0x121d...c702,157,5,1
0x23c7...7f2d,168,5,1
0xcdd2...be55,173,5,1
0x16f3...0179,195,5,1
0x5b3d...18e6,150,5,1
0xd045...9e44,1003,3,4
0x5d8a...0b68,217,5,1
0xee7c...9990,1004,3,4
0x68da...8e9a,1000,3,4
0x4212...5342,150,5,1
0xf890...837a,1489,3,5
0x0364...c4bd,1020,3,4
0xb29c...c0ef,150,5,1
0x1ae9...456a,1013,3,4
0x12e6...e14d,1577,3,6
0x59fa...8832,150,5,1
0xa3f8...5d62,151,5,1
0x1a34...da29,1814,3,7
0xed6e...e1b4,155,5,1
0x79f9...0b84,1001,3,4
0x810f...93bb,1000,3,4
0x96c3...3403,1012,3,4
0x833d...29bf,1074,3,4
0x5967...a437,1011,3,4
0x773e...2446,1019,3,4
0xea3a...d3b0,1003,3,4
0x0dc5...af70,300,5,1
0x721e...a2ee,150,5,1
0x7c8d...0e83,335,5,1
0x2f18...754f,1787,3,7
0x1efa...9253,179,5,1
0x148a...e04e,1002,3,4
0x8b19...19a4,1052,3,4
0x35a2...4b81,1503,3,6
0x00e3...2b8a,1016,3,4
0x49cb...d672,3383,3,13
0xc287...08ed,1012,3,4
0x82cf...41f8,1007,3,4
0x2804...ea94,1000,3,4
0x3dbc...3b09,1000,3,4
0xb133...4f3a,183,5,1
0x8e16...dcc4,1001,3,4
0x0d64...32c6,150,5,1
0x490e...4d0a,503,4,2
0x754a...e5c1,556,4,2
0xe0c2...5e2b,2750,3,11
0xb52f...9787,500,4,2
0xf4b5...0e48,500,4,2
0x27a4...3780,1013,3,4
0x0177...7f45,375,5,1
0xdb9d...37ca,1004,3,4
0xd552...cf84,500,4,2
0x6f76...c933,1069,3,4
0xeb35...a5ac,2020,3,8
0x9537...2b96,2703,3,10
0xa61b...7d68,500,4,2
0x127c...5811,156,5,1
0x495e...d23b,175,5,1
0xf14d...5a9f,500,4,2
0x818d...5c50,1000,3,4
0xe5c2...4a4c,2056,3,8
0x029c...13ad,503,4,2
0x1e9b...72d4,501,4,2
0x5b9e...c3c8,180,5,1
0x637c...b7b8,1013,3,4
0xa796...cec3,160,5,1
0xdc5d...aefc,1001,3,4
0xc4f0...b914,1350,3,5
0x9537...2b96,2703,3,10
0x140e...d5aa,503,4,2
0x6d9f...ec2e,176,5,1
0x2b67...358f,724,4,2
0x912d...725a,153,5,1
0x72c4...a91a,1521,3,6
0xf989...340e,505,4,2
0x4676...35d4,1017,3,4
0xba88...4c57,1001,3,4
0x189f...c136,1560,3,6
0x0e4f...e6f8,164,5,1
0x3c72...b8fe,159,5,1
0x235f...22d2,150,5,1
0x47e9...e670,151,5,1
0x8393...307a,1000,3,4
0x6cf2...eb3d,1569,3,6
0x6d36...e513,2002,3,8
0x2443...3332,501,4,2
0x8ed4...1786,1003,3,4
0xe059...86dc,1000,3,4
0x4efa...7713,1011,3,4
0x32be...1f8c,165,5,1
0x8a8a...c796,1002,3,4
0x0584...ad8c,1004,3,4
0x1a34...da29,1814,3,7
0xe7c0...16ed,150,5,1
0x1c72...d414,510,4,2
0x00d1...adfe,1096,3,4
0x810f...93bb,1000,3,4
0x1a34...da29,1814,3,7
0xf320...4bec,1015,3,4
0x637c...b7b8,1013,3,4
0x7463...0124,1046,3,4
0x57fb...cbbb,2006,3,8
0x354f...63d4,504,4,2
0x98e1...d151,150,5,1
