ETH Address, Stake, Tier, Participation Weight
0x85ccdcf580caf8a3674d94f3d6c63304674a8e09,2495,3,9
0x7355dba82082f368ad2e0dad10ed3e71f1264faa,1708,3,6
0x7a3fe3d1891ceecb165c7fdb36b8713cda635c5c,506,4,2
0xe0fe58a5b982f5feeb10cafc4c76bc9f9effa81a,1005,3,4
0x8f868633fcc83617cf9787115fdedf3c5def0fb2,1300,3,5
0x43c996633fb696f3db7a473d0f9025f1417742db,550,4,2
0x4d9dfc5cf3edf9b4aff12d57576bcce1c0d23e36,1500,3,6
0xf9d8a00fab8aa412d9288878c3c1639daea514be,155,5,1
0x6c3a63a669df9ea03c9618a191178dc680ae6d80,501,4,2
0x0f983da88e78ccd4711c9129e312d47a86d37609,291,5,1
0xf9a23cf13162b718d0b635220ca338ffa8d39637,2411,3,9
0x42542d1f1a465aa3e812ab5d2b0c23a1dd17b20f,1000,3,4
0x752bd0b00c5927c26ea06e00b7fa0c2dabd6738e,1015,3,4
0xb306877b40ec68c7b8446daf54d7bfd3698b5985,1277,3,5
0xd71af0770fa5eb38ee0dbf6c29c1210f89869e22,1010,3,4
0x2842acbf8730645042040d9bbb968ac8c5be58f2,2790,3,11
0xf8c7b6f0942cc6397588766253e73c598a62413d,1002,3,4
0x0b4ecf28692614c10deb7d8579f4878be3fd2de9,503,4,2
0x9424304b841e58181abd6de29a3ab023b6a5d9dc,500,4,2
0x0f3a5bc1c14288b656bdb4943ec997f2cb395353,526,4,2
0xea3a1aa352da6fc0ab46ec7e27b4334a6aded3b0,1003,3,4
0x07a36c3112e5e0814cc82df533c48e2995f29e8c,288,5,1
0x984225f6905db11f87771b2a98c3466ac31f9e06,2182,3,8
0xae01378e394f24205043ff1c5e29ee34b9ac687b,1000,3,4
0xf2911de56feb7b88d6eede36982917610da8b0fd,250,5,1
0xb0aa0d14899402200fa40e974b709bc5e6b5f848,340,5,1
0xe1d8be862b80085ac6b198a1838a32a4ee57c2cf,1000,3,4
0xc8ec438f4c6712e7e6c9c4eb1aa5b6a3d466a778,1001,3,4
0xb8c943a39309c07cfa3d437bcdccbb7b4b23082e,1800,3,7
0xe0c265f06b074f30c97ffb76d6b48e34b3d95e2b,2750,3,11
0xe5cb6552fd6561e3e4197020a4c941ebdd6876f6,150,5,1
0x8386190022cf3a8e570b8d07619b1d4cd6308fb6,1512,3,6
0x3a0b019e2d1c19a7cfa65a446792a77179fdb32f,155,5,1
0x5bc96b831cd6fc900c10dc50a56c852701f03f35,3431,3,13
0xfdc29453a71fd338f156c6f923f29ac481953437,185,5,1
0x4ece18ba942e47b0be0acda8c96306af70b636f9,1976,3,7
0xbe43dd22ed9ebc44c4827c7bfd2da9afe4f55e0b,1514,3,6
0x20dfeee422e70acf5723ecfd10f615b0347936b3,1672,3,6
0x470b7496e84977c996bb857455bb8c384da22aaf,500,4,2
0xc898d2c5d130135bfc0901f6cddc7e25bab17792,2083,3,8
0xefbbf1834a5645a2434b07f5ce4069c7f0833f86,1000,3,4
0xe6ec7be199d192aa397cd08fe47497718d7bea5b,500,4,2
0x57fbf190abfb204046140370aa3ed87e8934cbbb,1754,3,7
0x2ddb03b64c9ca361ca653004bb8fe9032156179b,160,5,1
0x1c0c56a7eb21f1e25fe1703ebece3df37f235994,612,4,2
0xc022c9fc32f214f392fbecbb2ccd02fcc6e49a08,524,4,2
0xc17ab6e674172c76f59719cf4f343a37b1707828,1240,3,4
0x9fd36ab5cd11681856a228f6257b689cb58ba9d2,500,4,2
0x96172463e63b3414aac090189a7b8f5c4a43d0de,250,5,1
0x5e2d308afbc9edece5ed20f88b863d737a1e5546,237,5,1
0x6046d412b45dace6c963c7c3c892ad951ec97e57,500,4,2
0x7d5c889eb449490acac274b339eca1fc29e2fb9d,2230,3,8
0x61f4e0111ca69a2547b56ce9e6a93d38b02175d3,1002,3,4
0xaa6b6f72491517a52fea89e5450acce41adfa173,150,5,1
0x89ab4f73b246b3338fa1e5816e0181dadd9f43b8,2245,3,8
0x583ae442a93b098bbc0556a5e4d892c66aea6b47,177,5,1
0x191771ad9d43032ffa5b679172fd79c6615353b8,1000,3,4
0x890d09a3592c4ad4e7ba7cf851fca1612b66c6e9,766,4,2
0xf256571e843922074c31f694853924f73370ce6c,151,5,1
0x443dee3683fc656ce1aa2550e689eef49264561e,153,5,1
