ETH Address, Stake, Tier, Participation Weight
0x0089...01f3,247,5,1
0x0099...208b,210,5,1
0x00c1...6ad0,209,5,1
0x00d1...adfe,1096,3,4
0x00d1...adfe,1096,3,4
0x00d1...adfe,1096,3,4
0x00d1...adfe,1096,3,4
0x00e9...d60a,626,4,2
0x00e9...d60a,626,4,2
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x0217...d69f,150,5,1
0x0258...7ac2,160,5,1
0x029c...13ad,503,4,2
0x029c...13ad,503,4,2
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x0326...76ae,152,5,1
0x0382...9c73,1002,3,4
0x0382...9c73,1002,3,4
0x0382...9c73,1002,3,4
0x0382...9c73,1002,3,4
0x03a0...3184,1009,3,4
0x03a0...3184,1009,3,4
0x03a0...3184,1009,3,4
0x03a0...3184,1009,3,4
0x03c6...4f17,175,5,1
0x03d0...c791,150,5,1
0x0456...f294,344,5,1
0x045d...e696,150,5,1
0x046a...43bc,154,5,1
0x0474...5a85,504,4,2
0x0474...5a85,504,4,2
0x04c1...a1aa,188,5,1
0x04cd...0762,390,5,1
0x04e3...2bda,2016,3,8
0x04e3...2bda,2016,3,8
0x04e3...2bda,2016,3,8
0x04e3...2bda,2016,3,8
0x04e3...2bda,2016,3,8
0x04e3...2bda,2016,3,8
0x04e3...2bda,2016,3,8
0x04e3...2bda,2016,3,8
0x051a...29d7,500,4,2
0x051a...29d7,500,4,2
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x05b2...0711,150,5,1
0x0652...7c1d,150,5,1
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x06ec...ce30,531,4,2
0x06ec...ce30,531,4,2
0x0752...c807,501,4,2
0x0752...c807,501,4,2
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x0776...3829,169,5,1
0x07c0...662c,502,4,2
0x07c0...662c,502,4,2
0x07f4...8ac5,260,5,1
0x090c...5f2c,613,4,2
0x090c...5f2c,613,4,2
0x09d8...cbdb,220,5,1
0x09f1...b3c9,504,4,2
0x09f1...b3c9,504,4,2
0x0a08...ac33,154,5,1
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0ada...b347,876,4,2
0x0ada...b347,876,4,2
0x0adc...9e94,155,5,1
0x0b40...4f11,298,5,1
0x0b46...dfca,151,5,1
0x0b4e...2de9,503,4,2
0x0b4e...2de9,503,4,2
0x0b4f...5be1,151,5,1
0x0b52...a134,156,5,1
0x0b5d...f369,150,5,1
0x0b66...7f65,502,4,2
0x0b66...7f65,502,4,2
0x0ba9...e8f5,504,4,2
