ETH Address, Stake, Tier, Participation Weight
0x0052...52c1,500,4,2
0x0052...52c1,500,4,2
0x005c...c6ed,504,4,2
0x005c...c6ed,504,4,2
0x006f...60ee,152,5,1
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00b4...9847,151,5,1
0x00c1...6ad0,209,5,1
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x012d...9ea7,1022,3,4
0x012d...9ea7,1022,3,4
0x012d...9ea7,1022,3,4
0x012d...9ea7,1022,3,4
0x01ed...c55e,506,4,2
0x01ed...c55e,506,4,2
0x0290...2271,155,5,1
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02d9...c6f7,168,5,1
0x03c4...6ae6,517,4,2
0x03c4...6ae6,517,4,2
0x03c6...4f17,282,5,1
0x03d4...401e,500,4,2
0x03d4...401e,500,4,2
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0559...cdbf,500,4,2
0x0559...cdbf,500,4,2
0x058a...b4e1,151,5,1
0x0602...185b,501,4,2
0x0602...185b,501,4,2
0x0687...0643,150,5,1
0x06a6...ad35,505,4,2
0x06a6...ad35,505,4,2
0x0717...a857,1000,3,4
0x0717...a857,1000,3,4
0x0717...a857,1000,3,4
0x0717...a857,1000,3,4
0x0752...c807,501,4,2
0x0752...c807,501,4,2
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x082c...c878,151,5,1
0x0836...f2e8,150,5,1
0x084a...09f1,1058,3,4
0x084a...09f1,1058,3,4
0x084a...09f1,1058,3,4
0x084a...09f1,1058,3,4
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x0885...9526,183,5,1
0x088d...bca6,1019,3,4
0x088d...bca6,1019,3,4
0x088d...bca6,1019,3,4
0x088d...bca6,1019,3,4
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x0919...cc7c,150,5,1
0x0955...26c1,168,5,1
0x09f1...b3c9,504,4,2
0x09f1...b3c9,504,4,2
0x09f8...aa41,150,5,1
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0aa4...9580,1005,3,4
0x0aa4...9580,1005,3,4
0x0aa4...9580,1005,3,4
0x0aa4...9580,1005,3,4
0x0acc...4354,151,5,1
0x0ada...b347,876,4,2
0x0ada...b347,876,4,2
0x0b40...4f11,298,5,1
0x0b46...dfca,151,5,1
0x0b76...5612,150,5,1
0x0ba9...e8f5,504,4,2
0x0ba9...e8f5,504,4,2
