ETH Address,Stake,Tier,Participation
0xa160...1ef0,1056,3,4
0x26a5...e144,1551,3,6
0xc32c...e8eb,1003,3,4
0x55b9...20f7,1000,3,4
0x24e2...45bf,2861,3,11
0xd2e8...b7d1,1000,3,4
0x35a2...4b81,2001,3,8
0x9a08...7205,1006,3,4
0xa728...b4f6,1001,3,4
0x82f6...b872,1010,3,4
0xa160...1ef0,1056,3,4
0x628e...78d8,150,5,1
0x0752...c807,1007,3,4
0x3d5d...3d7e,151,5,1
0x90c6...c015,1004,3,4
0xd5ae...bc26,1000,3,4
0xde67...8aa3,1015,3,4
0x17a5...1eed,1011,3,4
0x1617...c181,1015,3,4
0x0752...c807,1007,3,4
0x1f1f...4b6e,154,5,1
0x3d52...0e63,2004,3,8
0xa227...b143,1000,3,4
0xf5d6...610f,1000,3,4
0x4502...ba5e,1000,3,4
0x0b40...4f11,298,5,1
0x24e2...45bf,2861,3,11
0x4ba1...213e,1021,3,4
0x5d20...2b8f,1019,3,4
0x8367...dfd4,150,5,1
0x9346...24f1,150,5,1
0x485e...bb88,1140,3,4
0xf4c4...ef5c,150,5,1
0xe011...5b54,1000,3,4
0xf46d...3171,1042,3,4
0x082c...c878,1020,3,4
0x627b...2909,1030,3,4
0x0451...44d7,1501,3,6
0x637c...b7b8,1013,3,4
0xfc88...c03e,1001,3,4
0x5d20...2b8f,1019,3,4
0x9034...2130,154,5,1
0xd522...4add,1521,3,6
0x7dba...9e2c,1000,3,4
0x8fdd...5d91,1016,3,4
0x12fb...df48,1000,3,4
0x90c6...c015,1004,3,4
0xeb20...6eaa,1000,3,4
0x121d...c702,157,5,1
0xf097...610e,1000,3,4
0xb676...5bce,1000,3,4
0xd522...4add,1521,3,6
0x640e...b93b,1000,3,4
0x5be2...f5bf,1024,3,4
0x25ff...895a,1000,3,4
0x4f90...c48a,1000,3,4
0x9a08...7205,1006,3,4
0x7a92...1545,500,4,2
0x082c...c878,1020,3,4
0x88c0...62ab,1000,3,4
0xd64e...36e6,500,4,2
0x2ca0...a558,1015,3,4
0x2765...df73,1005,3,4
0xd491...cd7d,1001,3,4
0x25ff...895a,1000,3,4
0x2d90...99d4,2506,3,10
0x3a87...5732,1010,3,4
0x24e2...45bf,2861,3,11
0x7a92...1545,500,4,2
0xa73d...4db8,1300,3,5
0xd491...cd7d,1001,3,4
0x6bc1...fd7f,1000,3,4
0x76dd...8821,1011,3,4
0x5be2...f5bf,1024,3,4
0x24e2...45bf,2861,3,11
0xc832...0a0e,1087,3,4
0x4f90...c48a,1000,3,4
0xb676...5bce,1000,3,4
0x32d9...b74e,1548,3,6
0x637c...b7b8,1013,3,4
0xb287...23d5,1125,3,4
0xe011...5b54,1000,3,4
0x2d90...99d4,2506,3,10
0x960d...ebe8,1520,3,6
0x57fb...cbbb,2006,3,8
0xb00f...0791,1050,3,4
0x24e2...45bf,2861,3,11
0x3238...5564,500,4,2
0xaa2a...7e9f,150,5,1
0x4502...ba5e,1000,3,4
0x57fb...cbbb,2006,3,8
0x2099...c80c,153,5,1
0xab58...2010,1050,3,4
0xcbfd...ceb4,1012,3,4
0x90a1...0ac8,1000,3,4
0xa160...1ef0,1056,3,4
0x87f5...a695,1033,3,4
0xd522...4add,1521,3,6
0xceb4...0e1c,507,4,2
0x7dba...9e2c,1000,3,4
0x3d52...0e63,2004,3,8
0x1190...b27f,1019,3,4
0x17b3...557b,1471,3,5
0x35a2...4b81,2001,3,8
0xb132...3ec5,1000,3,4
0x0602...185b,1003,3,4
0x422c...c5dd,1000,3,4
0x472b...3f3f,500,4,2
0x17b3...557b,1471,3,5
0x5a06...53cd,1010,3,4
0x7dba...9e2c,1000,3,4
0x0451...44d7,1501,3,6
0x99f6...a375,1006,3,4
0x472b...3f3f,500,4,2
0x11c4...9142,1007,3,4
0xcbfd...ceb4,1012,3,4
0xa227...b143,1000,3,4
0xfb07...c3f8,1001,3,4
0x185d...e3e6,526,4,2
0xd30c...7967,1000,3,4
0xccc9...e0a5,500,4,2
0xa1fb...6492,1015,3,4
0x2d90...99d4,2506,3,10
0x68da...8e9a,1000,3,4
0x6a5f...ccd4,1000,3,4
0xf097...610e,1000,3,4
0x9a08...7205,1006,3,4
0x6a5f...ccd4,1000,3,4
0x24e2...45bf,2861,3,11
0xb676...5bce,1000,3,4
0x3287...7408,1727,3,6
0x32d9...b74e,1548,3,6
0x90c6...c015,1004,3,4
