ETH Address, Tier, Wave, Is Promoted, Is CoolOff
0x0099...208b,2,1,false,false
0x01b6...26ed,2,1,false,false
0x045e...e40f,1,1,false,false
0x04c1...a1aa,2,1,false,false
0x0675...1ce7,1,1,false,false
0x0710...8e5a,1,1,false,false
0x0a16...68d5,2,1,false,false
0x0ae2...df34,2,1,false,false
0x0b26...870f,2,1,false,false
0x0c4a...15ba,2,1,false,false
0x0f22...1319,1,1,false,false
0x13d6...45ce,2,1,false,false
0x14d4...ca76,2,1,false,false
0x14e2...359c,1,1,false,false
0x1899...bd88,1,1,false,false
0x18ed...5316,2,1,false,false
0x1920...6546,2,1,false,false
0x19c7...d063,2,1,false,false
0x1c3b...423a,1,1,false,false
0x1d71...6578,2,1,false,false
0x1efa...9253,2,1,false,false
0x22a1...bfee,1,1,false,false
0x2348...35e1,2,1,false,false
0x23d3...5936,3,1,true,false
0x2590...bed8,1,1,false,false
0x2609...6a99,1,1,false,false
0x2625...869f,1,1,false,false
0x26d1...6f19,2,1,false,false
0x2842...58f2,1,1,false,false
0x2992...3513,1,1,false,false
0x2afd...47c4,2,1,false,false
0x2b2d...4b9a,2,1,false,false
0x30b8...82e6,2,1,false,false
0x335f...2953,2,1,false,false
0x33d7...9ab7,2,1,false,false
0x34b7...d0bc,2,1,false,false
0x34bb...9cdc,2,1,false,false
0x3557...42cf,2,1,false,false
0x3743...fc74,1,1,false,false
0x3833...a4ed,1,1,false,false
0x39c9...1763,2,1,false,false
0x3b7b...7245,2,1,false,false
0x3c7e...9319,1,1,false,false
0x3d0d...c426,1,1,false,false
0x3e14...8584,2,1,false,false
0x40d2...8087,2,1,false,false
0x4468...9a57,2,1,false,false
0x446b...e1d0,2,1,false,false
0x453c...eea8,1,1,false,false
0x4614...b23a,2,1,false,false
0x4ece...36f9,2,1,false,false
0x4ede...05a4,2,1,false,false
0x4f24...3c59,2,1,false,false
0x4f2e...4360,2,1,false,false
0x4f55...22cf,1,1,false,false
0x4fa8...0133,2,1,false,false
0x4fbe...ed8e,1,1,false,false
0x56c0...22ce,1,1,false,false
0x5793...cf95,1,1,false,false
0x5834...286a,2,1,false,false
0x5849...9de5,2,1,false,false
0x58ab...85b3,2,1,false,false
0x5c24...1d6b,1,1,false,false
0x5c98...e3cb,2,1,false,false
0x5d2a...f05e,2,1,false,false
0x6022...8516,1,1,false,false
0x60e1...34b0,2,1,false,false
0x61f4...75d3,2,1,false,false
0x6229...c742,2,1,false,false
0x6265...c58a,2,1,false,false
0x6413...f1b5,1,1,false,false
0x6829...27ca,1,1,false,false
0x685c...8bc9,1,1,false,false
0x6980...f2d8,2,1,false,false
0x69cf...4919,2,1,false,false
0x6ee7...e89c,3,1,true,false
0x7082...4452,1,1,false,false
0x70d6...ce77,2,1,false,false
0x7176...0acd,2,1,false,false
0x7243...a9b5,2,1,false,false
0x73a9...31d1,1,1,false,false
0x73d8...9b54,1,1,false,false
0x74f8...48da,1,1,false,false
0x760e...e8fe,2,1,false,false
0x76c4...265d,1,1,false,false
0x77a6...8baf,1,1,false,false
0x77cc...c4d6,2,1,false,false
0x782d...3ede,1,1,false,false
0x7841...8dbc,2,1,false,false
0x799d...f5bc,2,1,false,false
0x7a28...9e34,2,1,false,false
0x7c12...35e1,1,1,false,false
0x7d96...e3b7,2,1,false,false
0x7f49...e6a3,2,1,false,false
0x7fe8...5246,1,1,false,false
0x82b7...369e,2,1,false,false
0x873a...fc90,1,1,false,false
0x8a78...7eac,2,1,false,false
0x8bfb...2558,2,1,false,false
0x8ccd...0db0,1,1,false,false
0x8ceb...f1ee,3,1,true,false
0x8d23...b0a7,1,1,false,false
0x8e73...dce3,1,1,false,false
0x9143...1c1a,2,1,false,false
0x948f...2811,1,1,false,false
0x976d...7cf4,1,1,false,false
0x9772...3bba,5,1,true,false
0x97cd...f050,2,1,false,false
0x9878...d0e3,2,1,false,false
0x989c...860a,1,1,false,false
0x98d4...5990,2,1,false,false
0x9a6a...f025,2,1,false,false
0x9ca4...ccbf,1,1,false,false
0x9cd9...a5b9,1,1,false,false
0xa0ac...013d,2,1,false,false
0xa1e8...552b,2,1,false,false
0xa2dc...697b,1,1,false,false
0xa415...0fcd,2,1,false,false
0xa50e...9273,1,1,false,false
0xa5aa...3954,2,1,false,false
0xa677...bf0d,1,1,false,false
0xa9a4...e2d6,1,1,false,false
0xaa16...d38e,1,1,false,false
0xaac1...0ef1,2,1,false,false
0xad9d...1fb3,2,1,false,false
0xb026...36b6,2,1,false,false
0xb02d...67c1,2,1,false,false
0xb117...1432,1,1,false,false
0xb16a...318d,2,1,false,false
0xb347...2dec,1,1,false,false
0xb3d8...71b1,2,1,false,false
0xb53d...f7b6,1,1,false,false
0xb5c6...23cc,2,1,false,false
0xb6e1...14c9,1,1,false,false
0xb7bb...c1bd,2,1,false,false
0xb82f...a4cf,2,1,false,false
0xb9ce...f2ea,1,1,false,false
0xba88...4c57,2,1,false,false
0xbaa5...1470,2,1,false,false
0xbc78...9599,2,1,false,false
0xbcfd...a7ff,2,1,false,false
0xbd78...afaa,2,1,false,false
0xbe75...c376,1,1,false,false
0xbeaf...1313,2,1,false,false
0xbf27...241c,2,1,false,false
0xbf5c...c282,2,1,false,false
0xbfad...ad6c,2,1,false,false
0xc115...2021,2,1,false,false
0xc19f...27a7,2,1,false,false
0xc21c...7447,2,1,false,false
0xc2cb...6a78,1,1,false,false
0xc4f5...d074,2,1,false,false
0xcad2...7d9b,1,1,false,false
0xce7a...7f3f,2,1,false,false
0xcf5e...dacf,1,1,false,false
0xcfbe...cf5c,2,1,false,false
0xd19b...2aa2,2,1,false,false
0xd41f...766a,1,1,false,false
0xd555...dd43,1,1,false,false
0xd5bf...8e42,2,1,false,false
0xd8db...d184,2,1,false,false
0xdaf7...c28e,2,1,false,false
0xdb6d...500b,2,1,false,false
0xde09...4cbb,1,1,false,false
0xde78...9c71,2,1,false,false
0xdee5...1699,2,1,false,false
0xdf0d...7bfe,1,1,false,false
0xdfb5...c218,2,1,false,false
0xe056...3f0a,2,1,false,false
0xe702...09e2,2,1,false,false
0xe7c0...16ed,2,1,false,false
0xe9fd...6a15,2,1,false,false
0xec20...a3fa,1,1,false,false
0xeed3...8306,2,1,false,false
0xefb9...5ea0,2,1,false,false
0xf0a4...fa37,1,1,false,false
0xf1e2...6129,2,1,false,false
0xf2e3...b283,2,1,false,false
0xf4bc...6ece,1,1,false,false
0xfa0e...1ae1,2,1,false,false
0xfa24...da8f,1,1,false,false
0xfa58...6744,1,1,false,false
0xfaa7...b1a4,2,1,false,false
0xfc3a...8877,1,1,false,false
0xfde6...408b,2,1,false,false
0xfe39...eb37,2,1,false,false
0xff2c...510d,1,1,false,false
0x26a5...e144,3,1,false,false
0x55b9...20f7,3,1,false,false
0x35a2...4b81,3,1,false,false
0x9a08...7205,3,1,false,false
0x0752...c807,3,1,false,false
0xd5ae...bc26,3,1,false,false
0xde67...8aa3,3,1,false,false
0x1617...c181,3,1,false,false
0x3d52...0e63,3,1,false,false
0xa227...b143,3,2,false,false
0xf5d6...610f,3,2,false,false
0x4502...ba5e,3,2,false,false
0x4ba1...213e,3,2,false,false
0x5d20...2b8f,3,2,false,false
0x9346...24f1,5,2,false,false
0xf4c4...ef5c,5,2,false,false
0xf46d...3171,3,2,false,false
0x0451...44d7,3,2,false,false
0x637c...b7b8,3,2,false,false
0x9034...2130,5,2,false,false
0x7dba...9e2c,3,2,false,false
0x8fdd...5d91,3,2,false,false
0xeb20...6eaa,3,2,false,false
0xf097...610e,3,2,false,false
0xb676...5bce,3,2,false,false
0x640e...b93b,3,2,false,false
0x5be2...f5bf,3,2,false,false
0x4f90...c48a,3,2,false,false
0x88c0...62ab,3,2,false,false
0xd64e...36e6,4,2,false,false
0xd491...cd7d,3,2,false,false
0x2d90...99d4,3,2,false,false
0xa73d...4db8,3,2,false,false
0x6bc1...fd7f,3,2,false,false
