ETH Address,Stake,Tier,Participation
0xc8ee...fb1e,166,5,1
0x0693...522e,1002,3,4
0xb903...49de,1000,3,4
0x8d29...915b,500,4,2
0x6e42...34c0,170,5,1
0x42de...09e8,150,5,1
0xfd46...6a41,1005,3,4
0x1c72...d414,510,4,2
0xf18c...e9ff,1003,3,4
0x485e...cbcc,184,5,1
0xd434...bc86,1000,3,4
0xbe43...5e0b,1514,3,6
0xdf08...d5b7,150,5,1
0x0099...208b,1001,3,4
0xfce4...4eee,150,5,1
0x7b76...95f0,1001,3,4
0xb587...3806,152,5,1
0x3a96...f08c,1001,3,4
0x942d...2666,171,5,1
0x622a...49c8,1001,3,4
0xeaf5...0fe1,500,4,2
0xf4bc...6ece,507,4,2
0x14eb...2392,500,4,2
0xd559...1dcf,150,5,1
0x3c7b...b82c,1016,3,4
0xb702...32ef,1001,3,4
0x1d97...0702,163,5,1
0x77a7...0e14,226,5,1
0x947f...74d2,2263,3,9
0x421a...c2c7,500,4,2
0x0400...48f8,170,5,1
0x32b0...8b95,1068,3,4
0xf64d...09b0,243,5,1
0x539f...7ed4,1023,3,4
0x0f98...7609,291,5,1
0xed42...dc6d,501,4,2
0x63cd...ce73,2011,3,8
0x98bb...cf7f,1080,3,4
0xd8cb...3989,504,4,2
0x38d9...e8e3,1004,3,4
0xb16e...8397,150,5,1
0xd045...9e44,1019,3,4
0xb7a1...1253,1278,3,5
0x86bf...743b,1000,3,4
0xfaf2...d1c6,250,5,1
0x4f90...c48a,1000,3,4
0x7b56...57a2,1011,3,4
0xd6e9...b990,150,5,1
0x8661...3c3c,287,5,1
0x0770...b916,1115,3,4
0x6f66...e856,574,4,2
0x40be...075b,1000,3,4
0x69cb...e3f2,2100,3,8
0xf21c...5cc8,1001,3,4
0xad36...2b36,1072,3,4
0x83a3...a3be,1057,3,4
0x0308...b9d0,1027,3,4
0x2804...ea94,1000,3,4
0x1e9b...72d4,501,4,2
0x31de...e7c8,157,5,1
0xdf2e...dc80,1000,3,4
0xeb35...a5ac,2020,3,8
0x61f2...0745,568,4,2
0x6b2b...fb65,1016,3,4
0x4a99...11ce,150,5,1
0x1dab...beaf,1005,3,4
0x00e3...2b8a,1016,3,4
0x69cb...e3f2,2100,3,8
0x0770...b916,1115,3,4
0xa6c9...2165,2302,3,9
0x9057...9185,170,5,1
0x40be...075b,1000,3,4
0xeda4...eed9,1414,3,5
0x623b...7eb3,177,5,1
0x0130...363c,195,5,1
0xbf8f...5f9c,162,5,1
0x4a44...2139,500,4,2
0xbef2...f1b3,1341,3,5
0xf4b5...0e48,500,4,2
0xe6e1...3a4f,1021,3,4
0x8af6...52a3,1009,3,4
0xe738...b08e,1000,3,4
0x69cb...e3f2,2100,3,8
0x0538...91b2,1000,3,4
0x4676...35d4,1017,3,4
0x89a8...5b0d,246,5,1
0x0a5c...cc22,1511,3,6
0x87e0...48b3,268,5,1
0x5c5d...bcb4,515,4,2
0x8635...ae37,1005,3,4
0xa61b...7d68,500,4,2
0x6725...264b,500,4,2
0xb676...5bce,500,4,2
0xf825...1fc5,1502,3,6
0x2ce3...1635,503,4,2
0x8f22...f780,366,5,1
0x68c3...c44c,153,5,1
0x83a3...a3be,1057,3,4
0x30ba...6282,150,5,1
0x514a...a250,1001,3,4
0x68da...8e9a,1000,3,4
0xfea8...e23f,1335,3,5
0x24ec...f7b4,150,5,1
0x7841...8dbc,1000,3,4
0x1e74...e11c,1050,3,4
0xd71a...9e22,1010,3,4
0xfaca...8884,1740,3,6
