ETH Address, Stake, Tier, Participation Weight
0xeda4...eed9,1414,3,5
0xad36...2b36,1072,3,4
0xc675...9a84,150,5,1
0x4f2e...4360,1150,3,4
0xccd9...f58e,515,4,2
0x380d...b101,503,4,2
0xf6b9...aa1c,151,5,1
0x011d...fc83,1000,3,4
0x0ebf...cced,385,5,1
0x705a...635d,1000,3,4
0x586b...4f10,503,4,2
0x7bec...6968,1125,3,4
0xee0b...f39f,1500,3,6
0x26de...8fcf,150,5,1
0x5072...9de1,1069,3,4
0x5394...42d8,1013,3,4
0xbce5...0150,1000,3,4
0x8881...06c3,1000,3,4
0x2d7e...fb97,154,5,1
0x140e...d5aa,503,4,2
0x60ad...2f3b,500,4,2
0xb3d7...8538,1000,3,4
0xb187...a919,506,4,2
0x70cc...c649,1000,3,4
0x396b...d2aa,3001,3,12
0xb00f...0791,1038,3,4
0x467a...654c,216,5,1
0x637c...b7b8,1013,3,4
0xaee9...f049,500,4,2
0xbcb2...3729,1000,3,4
0xf642...95e8,160,5,1
0xc304...3fb5,1000,3,4
0xe5f4...a171,165,5,1
0x0290...2271,155,5,1
0xc8a4...185a,150,5,1
0x1755...dcef,1256,3,5
0x54f9...03dc,500,4,2
0x090c...5f2c,1021,3,4
0xc18a...25ab,502,4,2
0x12cf...041b,508,4,2
0x94d5...1116,151,5,1
0x1785...bbdd,1005,3,4
0xc06a...99a0,1656,3,6
0x7934...be39,1118,3,4
0xc874...2a4e,592,4,2
0xa4a7...f3e6,1001,3,4
0xa95f...d3de,514,4,2
0xc0cd...2d87,535,4,2
0xaf33...882f,1083,3,4
0x53cf...31e7,1002,3,4
0x159d...02fd,1022,3,4
0xde78...9c71,1023,3,4
0x7463...0124,1046,3,4
0x21f2...b313,1004,3,4
0x94bb...7bb2,156,5,1
0x8fdd...5d91,501,4,2
0x5c50...437c,1050,3,4
0x2521...1a80,500,4,2
0x6997...64fd,624,4,2
0x758b...6378,150,5,1
0xfac1...a191,2065,3,8
0x977b...772c,500,4,2
0x9a0f...3092,276,5,1
0xfdc2...3437,185,5,1
0xb8d1...87ae,1113,3,4
0x0717...a857,1000,3,4
0xbb6b...3db4,516,4,2
0xa417...fb07,1002,3,4
0xc24d...27e8,1000,3,4
0xfcf4...a889,1008,3,4
0xf21c...5cc8,1001,3,4
0xaf0e...cbe1,1000,3,4
0xdb8d...9360,1002,3,4
0xcc22...52ca,300,5,1
0x8eb2...e88c,160,5,1
0xfaca...8884,1740,3,6
0xa415...0fcd,3999,3,15
0x7cbd...d05d,2001,3,8
0x51d4...5364,154,5,1
0x57fb...cbbb,2006,3,8
0x49cb...d672,3383,3,13
0x01ef...8e52,740,4,2
0x76c0...7bdf,1045,3,4
0x2b4e...5fb8,500,4,2
0xa674...504c,1010,3,4
0x6625...ca6a,1086,3,4
0x1efa...9253,1019,3,4
0xd4f1...b713,1021,3,4
0xa19e...69cc,160,5,1
0x1920...6546,1947,3,7
0x69d2...eb80,1529,3,6
0xe82c...b03c,501,4,2
0xe209...242f,162,5,1
0x11c4...9142,1007,3,4
0x26da...c726,1094,3,4
0xc74d...77f0,1000,3,4
0x2c8c...e80b,150,5,1
0x121d...c702,157,5,1
0x3a96...f08c,1001,3,4
0xf4e7...4715,153,5,1
0x8932...fa21,1000,3,4
0x6eb4...03e4,2000,3,8
0x86b4...fcf9,500,4,2
0x19c5...22a6,1291,3,5
0xc9e6...a009,500,4,2
0x733a...b3cb,503,4,2
0x8c7f...4619,154,5,1
0x4047...697b,150,5,1
0x46ac...580e,150,5,1
0x9054...3e47,1021,3,4
0xe771...b807,1107,3,4
0x1960...2e37,1004,3,4
0x0776...3829,169,5,1
0x35a2...4b81,1503,3,6
0x6a75...f6c0,696,4,2
0xe0c2...5e2b,2750,3,11
0x8bfb...2558,1007,3,4
0x0474...5a85,1000,3,4
0x32e6...154c,505,4,2
0x4df0...1201,3000,3,12
0x5d88...1495,1000,3,4
0x4eff...98b5,150,5,1
0x1a67...10b1,1000,3,4
0x4f90...c48a,1000,3,4
0xe81f...4dd5,514,4,2
0x71c0...18ba,501,4,2
0x0c4a...15ba,1000,3,4
0x1cae...63ad,500,4,2
0x58a5...3c5e,153,5,1
0x5339...eb03,1001,3,4
0xcc3c...1710,1013,3,4
0x5602...6791,1005,3,4
0xbf8d...7fdc,150,5,1
0x81e3...4f5f,1000,3,4
0x4362...c417,1001,3,4
0xfa51...4dff,1033,3,4
0x7367...1907,1000,3,4
0xb8c9...082e,1800,3,7
0x8ed4...1786,1003,3,4
0x5661...7eeb,1652,3,6
0xf710...439e,150,5,1
0x1c72...03a2,1045,3,4
0x8ca9...45d2,1001,3,4
0xb6fb...bb62,1032,3,4
0x89dd...0ecf,1150,3,4
0x4208...2573,376,5,1
0x4ced...32d6,669,4,2
0x9f1e...fabe,1150,3,4
0x5c0d...8df4,501,4,2
0x61e2...ebf1,1010,3,4
0x760e...e8fe,1006,3,4
0xee06...08b6,524,4,2
0xd8bf...25a4,1524,3,6
0x26d1...6f19,1004,3,4
0x0cb0...59c8,503,4,2
0x319c...c6c1,188,5,1
0xfa18...9e26,170,5,1
0xd434...bc86,1000,3,4
0xd6a5...ba07,501,4,2
0xa403...bc0f,1000,3,4
0x4225...20da,1000,3,4
0x1190...b27f,750,4,2
0x5390...462f,503,4,2
0xc495...4a36,1009,3,4
0x8558...e58c,1019,3,4
0xd32f...41a8,1005,3,4
0x5c98...e3cb,1549,3,6
0xc815...10dc,1000,3,4
0x61f4...75d3,1002,3,4
0x6ac6...680b,1000,3,4
0xcc52...25f3,540,4,2
0xe3f7...86dc,1010,3,4
0x12e6...e14d,1577,3,6
0xc96f...6bcb,500,4,2
0x4e9b...39d6,362,5,1
0xa8dd...78f7,500,4,2
0xf8d2...9e71,1015,3,4
0x559c...0ee7,150,5,1
0x2af4...b350,1010,3,4
0x5948...f6a8,1000,3,4
0xdbcf...e9e3,150,5,1
0xd624...d0c1,502,4,2
0x79f1...cb4c,1001,3,4
0x0610...4e74,1013,3,4
0x490a...e26e,1000,3,4
0x627b...2909,155,5,1
0xf20f...1906,1006,3,4
0x0f85...c617,505,4,2
0x0217...d69f,500,4,2
0xbaf7...c406,1756,3,7
0x39a9...586a,1002,3,4
0xb73a...4568,503,4,2
0x844e...b353,502,4,2
0x570c...e9d0,1049,3,4
0x754a...e5c1,1553,3,6
0xd045...9e44,1019,3,4
0x580c...b05b,500,4,2
0xaea3...36f6,1000,3,4
0x1ea5...b603,175,5,1
0x8c43...872a,1021,3,4
0x00ac...d697,1000,3,4
0xfbd0...c2b1,503,4,2
0xb29d...3a3b,1001,3,4
0x2e56...e83d,1222,3,4
0xbf86...74cb,1000,3,4
0x1089...4b57,154,5,1
0x20cb...f32d,1047,3,4
0x13f8...8c18,1000,3,4
0x9c4c...f509,1001,3,4
0xa75f...84e9,1012,3,4
0xd4ad...740d,1050,3,4
0xf07b...5f51,1000,3,4
0x0f9f...bd3b,1258,3,5
0x704e...5f3c,1005,3,4
0x1dc1...8a20,151,5,1
0xcad3...700b,512,4,2
0x93cf...f568,1010,3,4
0xa863...52ee,1260,3,5
0xa9a0...7062,500,4,2
0x04c1...a1aa,1021,3,4
0xcee4...68aa,1005,3,4
0x6934...9345,150,5,1
0xae59...83c2,1408,3,5
0xb1d5...0357,1000,3,4
0x14ed...83a4,1001,3,4
0x4660...9980,1000,3,4
0xe5c3...20b6,160,5,1
0x4e65...c954,1000,3,4
0xbfad...ad6c,1000,3,4
0xfe37...9f2a,1003,3,4
0xcdd2...be55,360,5,1
0xfde6...408b,1002,3,4
0x8e2b...6c01,204,5,1
0xdbe9...80dc,1000,3,4
0x189f...c136,3541,3,14
0x41ad...c4fa,153,5,1
0x73a9...8054,208,5,1
0x8ec2...d13a,1000,3,4
0xfe84...8cb8,1000,3,4
0x794c...7bbe,150,5,1
0x608b...dc47,500,4,2
0xb114...7bde,503,4,2
0x3c71...7ffb,182,5,1
0x9617...d0de,1000,3,4
0x38ed...7314,150,5,1
0x579a...d5e5,1002,3,4
0x97d3...a281,1001,3,4
0x584d...14ac,1025,3,4
0x7c11...8a44,1006,3,4
0x5a01...0760,1000,3,4
0x787d...e18e,1000,3,4
0x2a37...e4a4,160,5,1
0x7c13...663a,205,5,1
0x1671...3aba,672,4,2
0x7dba...9e2c,1000,3,4
0x7676...9973,150,5,1
0x490e...4d0a,503,4,2
0x0ed4...3481,500,4,2
0xcfbe...cf5c,1042,3,4
0x22a3...5128,501,4,2
0xb47e...66ac,1003,3,4
0x005c...c6ed,504,4,2
0x490c...cf40,1000,3,4
0x49cb...ca2b,513,4,2
0xdba5...ba62,155,5,1
0x2e95...61f2,1307,3,5
0x2c40...88d1,1112,3,4
0x06be...e5eb,1040,3,4
0xed42...dc6d,1016,3,4
0xeaf5...0fe1,500,4,2
0x891e...5c44,186,5,1
0x991f...4be1,1000,3,4
0x0793...f126,1002,3,4
0xb3b8...881b,1232,3,4
0x5142...5013,503,4,2
0x537c...cadf,155,5,1
0xaba6...4ba9,150,5,1
0x630c...1010,170,5,1
0x7c5a...2afe,174,5,1
0x4502...ba5e,180,5,1
0x67a8...2eb6,503,4,2
0xb463...22c9,500,4,2
0xc91a...c971,150,5,1
0x6c17...a444,503,4,2
0x607c...393d,506,4,2
0xf5b1...8229,199,5,1
0xb5cd...d849,151,5,1
0xd5ea...6b0d,150,5,1
0xb7e0...7c5c,1003,3,4
0xa839...74d1,1005,3,4
0x644c...b31a,1002,3,4
0xac30...74d0,150,5,1
0x5821...f1f6,1002,3,4
0x818d...5c50,1000,3,4
0xee5e...d4b4,1007,3,4
0x00f3...131b,1000,3,4
0xa3dc...07b2,508,4,2
0x6100...9ebf,513,4,2
0xc697...5e0e,1007,3,4
0x7358...bfea,1012,3,4
0x3d52...0e63,1521,3,6
0xdb9d...37ca,1004,3,4
0xd8d0...4477,181,5,1
0x6a9d...7a20,204,5,1
0xf43f...8117,150,5,1
0xf813...9797,510,4,2
0xc17a...7828,1240,3,4
0x9de4...0116,507,4,2
0xf3cc...48b3,503,4,2
0xdaf6...a240,1450,3,5
0x7361...fda6,2219,3,8
0x11c0...04f6,1130,3,4
