ETH Address, Stake, Tier, Participation Weight
0x0062...6468,1000,3,4
0x0062...6468,1000,3,4
0x0062...6468,1000,3,4
0x0062...6468,1000,3,4
0x006f...60ee,152,5,1
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x007c...f7bc,3999,3,15
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00ac...d697,2081,3,8
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00f3...131b,1000,3,4
0x00f3...131b,1000,3,4
0x00f3...131b,1000,3,4
0x00f3...131b,1000,3,4
0x0102...4825,1010,3,4
0x0102...4825,1010,3,4
0x0102...4825,1010,3,4
0x0102...4825,1010,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x01ed...c55e,506,4,2
0x01ed...c55e,506,4,2
0x0249...cb1b,500,4,2
0x0249...cb1b,500,4,2
0x025a...69dc,285,5,1
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02d9...c6f7,168,5,1
0x03c4...6ae6,517,4,2
0x03c4...6ae6,517,4,2
0x03d4...401e,500,4,2
0x03d4...401e,500,4,2
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0548...4660,1200,3,4
0x0548...4660,1200,3,4
0x0548...4660,1200,3,4
0x0548...4660,1200,3,4
0x0559...cdbf,500,4,2
0x0559...cdbf,500,4,2
0x05b1...0b31,1059,3,4
0x05b1...0b31,1059,3,4
0x05b1...0b31,1059,3,4
0x05b1...0b31,1059,3,4
0x05fb...64fa,151,5,1
0x0602...185b,501,4,2
0x0602...185b,501,4,2
0x0610...4e74,1013,3,4
0x0610...4e74,1013,3,4
0x0610...4e74,1013,3,4
0x0610...4e74,1013,3,4
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x06a6...ad35,505,4,2
0x06a6...ad35,505,4,2
0x06be...e5eb,1040,3,4
0x06be...e5eb,1040,3,4
0x06be...e5eb,1040,3,4
0x06be...e5eb,1040,3,4
0x0710...8e5a,1080,3,4
0x0710...8e5a,1080,3,4
0x0710...8e5a,1080,3,4
0x0710...8e5a,1080,3,4
0x0740...ab57,500,4,2
0x0740...ab57,500,4,2
0x0748...c8cd,212,5,1
0x0752...c807,1007,3,4
0x0752...c807,1007,3,4
0x0752...c807,1007,3,4
0x0752...c807,1007,3,4
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x0770...b916,1115,3,4
0x07c9...f109,1000,3,4
0x07c9...f109,1000,3,4
0x07c9...f109,1000,3,4
0x07c9...f109,1000,3,4
0x082c...c878,1020,3,4
0x082c...c878,1020,3,4
0x082c...c878,1020,3,4
0x082c...c878,1020,3,4
0x0836...f2e8,150,5,1
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x0885...9526,679,4,2
0x0885...9526,679,4,2
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x09f1...b3c9,504,4,2
0x09f1...b3c9,504,4,2
0x09f8...aa41,150,5,1
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0a5c...cc22,1511,3,6
0x0aa4...9580,1005,3,4
0x0aa4...9580,1005,3,4
0x0aa4...9580,1005,3,4
0x0aa4...9580,1005,3,4
0x0ada...b347,1024,3,4
0x0ada...b347,1024,3,4
0x0ada...b347,1024,3,4
0x0ada...b347,1024,3,4
0x0b40...4f11,298,5,1
0x0ba9...e8f5,504,4,2
0x0ba9...e8f5,504,4,2
0x0c4a...15ba,1000,3,4
0x0c4a...15ba,1000,3,4
0x0c4a...15ba,1000,3,4
0x0c4a...15ba,1000,3,4
0x0cb0...59c8,503,4,2
0x0cb0...59c8,503,4,2
0x0cbf...d692,1109,3,4
0x0cbf...d692,1109,3,4
0x0cbf...d692,1109,3,4
0x0cbf...d692,1109,3,4
0x0d0d...3bb7,150,5,1
0x0d97...56d1,150,5,1
0x0e26...dadb,1001,3,4
0x0e26...dadb,1001,3,4
0x0e26...dadb,1001,3,4
0x0e26...dadb,1001,3,4
0x0e4f...e6f8,505,4,2
0x0e4f...e6f8,505,4,2
0x0e9b...c5df,1000,3,4
0x0e9b...c5df,1000,3,4
0x0e9b...c5df,1000,3,4
0x0e9b...c5df,1000,3,4
0x0f17...bb46,150,5,1
0x0f85...c617,505,4,2
0x0f85...c617,505,4,2
0x0fcc...ddda,500,4,2
0x0fcc...ddda,500,4,2
0x1089...4b57,154,5,1
0x1167...9a78,1059,3,4
0x1167...9a78,1059,3,4
0x1167...9a78,1059,3,4
0x1167...9a78,1059,3,4
0x118b...c712,1023,3,4
0x118b...c712,1023,3,4
0x118b...c712,1023,3,4
0x118b...c712,1023,3,4
0x118e...d504,500,4,2
0x118e...d504,500,4,2
0x1190...b27f,1000,3,4
0x1190...b27f,1000,3,4
0x1190...b27f,1000,3,4
0x1190...b27f,1000,3,4
0x11c4...9142,1007,3,4
0x11c4...9142,1007,3,4
0x11c4...9142,1007,3,4
0x11c4...9142,1007,3,4
0x11c7...b2e0,500,4,2
0x11c7...b2e0,500,4,2
0x11de...8bfa,155,5,1
0x11e7...3bf0,1000,3,4
0x11e7...3bf0,1000,3,4
0x11e7...3bf0,1000,3,4
0x11e7...3bf0,1000,3,4
0x128c...4d22,1009,3,4
0x128c...4d22,1009,3,4
0x128c...4d22,1009,3,4
0x128c...4d22,1009,3,4
0x12e6...e14d,1577,3,6
0x12e6...e14d,1577,3,6
0x12e6...e14d,1577,3,6
0x12e6...e14d,1577,3,6
0x12e6...e14d,1577,3,6
0x12e6...e14d,1577,3,6
0x12fb...df48,1000,3,4
0x12fb...df48,1000,3,4
0x12fb...df48,1000,3,4
0x12fb...df48,1000,3,4
0x1371...befb,1000,3,4
0x1371...befb,1000,3,4
0x1371...befb,1000,3,4
0x1371...befb,1000,3,4
0x13e0...95b3,150,5,1
0x14c3...2a56,1035,3,4
0x14c3...2a56,1035,3,4
0x14c3...2a56,1035,3,4
0x14c3...2a56,1035,3,4
0x14ed...83a4,1001,3,4
0x14ed...83a4,1001,3,4
0x14ed...83a4,1001,3,4
0x14ed...83a4,1001,3,4
0x1536...221e,152,5,1
0x15d1...5b39,500,4,2
0x15d1...5b39,500,4,2
0x1643...fb98,1020,3,4
0x1643...fb98,1020,3,4
0x1643...fb98,1020,3,4
0x1643...fb98,1020,3,4
0x1682...4efb,1019,3,4
0x1682...4efb,1019,3,4
0x1682...4efb,1019,3,4
0x1682...4efb,1019,3,4
0x16c8...5d07,507,4,2
0x16c8...5d07,507,4,2
0x1708...f578,1018,3,4
0x1708...f578,1018,3,4
0x1708...f578,1018,3,4
0x1708...f578,1018,3,4
0x1762...da39,500,4,2
0x1762...da39,500,4,2
0x17a5...1eed,150,5,1
0x17b3...557b,155,5,1
0x17b7...b283,184,5,1
0x183e...120e,1006,3,4
0x183e...120e,1006,3,4
0x183e...120e,1006,3,4
0x183e...120e,1006,3,4
0x185d...e3e6,526,4,2
0x185d...e3e6,526,4,2
0x1910...bfb3,1131,3,4
0x1910...bfb3,1131,3,4
0x1910...bfb3,1131,3,4
0x1910...bfb3,1131,3,4
0x193a...e8ac,151,5,1
0x1942...a5bf,151,5,1
0x1961...1a0b,1143,3,4
0x1961...1a0b,1143,3,4
0x1961...1a0b,1143,3,4
0x1961...1a0b,1143,3,4
0x197f...7d4b,1104,3,4
0x197f...7d4b,1104,3,4
0x197f...7d4b,1104,3,4
0x197f...7d4b,1104,3,4
0x19bb...1cc4,155,5,1
0x19c5...22a6,1291,3,5
0x19c5...22a6,1291,3,5
0x19c5...22a6,1291,3,5
0x19c5...22a6,1291,3,5
0x19c5...22a6,1291,3,5
0x1b05...6d3a,1021,3,4
0x1b05...6d3a,1021,3,4
0x1b05...6d3a,1021,3,4
0x1b05...6d3a,1021,3,4
0x1b32...bd0b,155,5,1
0x1bb9...775d,154,5,1
0x1c32...8da3,190,5,1
0x1c72...03a2,1045,3,4
0x1c72...03a2,1045,3,4
0x1c72...03a2,1045,3,4
0x1c72...03a2,1045,3,4
0x1c72...d414,510,4,2
0x1c72...d414,510,4,2
0x1c9d...adc5,1089,3,4
0x1c9d...adc5,1089,3,4
0x1c9d...adc5,1089,3,4
0x1c9d...adc5,1089,3,4
0x1ca8...1f2a,151,5,1
0x1d59...4531,155,5,1
0x1d97...0702,163,5,1
0x1dc1...8a20,151,5,1
0x1e34...6ebe,508,4,2
0x1e34...6ebe,508,4,2
0x1e60...ccfa,150,5,1
0x1e80...86bc,1026,3,4
0x1e80...86bc,1026,3,4
0x1e80...86bc,1026,3,4
0x1e80...86bc,1026,3,4
0x1e9b...72d4,501,4,2
0x1e9b...72d4,501,4,2
0x1efa...9253,1019,3,4
0x1efa...9253,1019,3,4
0x1efa...9253,1019,3,4
0x1efa...9253,1019,3,4
0x1f6b...0044,533,4,2
0x1f6b...0044,533,4,2
0x1f91...05b9,1000,3,4
0x1f91...05b9,1000,3,4
0x1f91...05b9,1000,3,4
0x1f91...05b9,1000,3,4
0x1fb9...5ac0,150,5,1
0x2070...ea34,1000,3,4
0x2070...ea34,1000,3,4
0x2070...ea34,1000,3,4
0x2070...ea34,1000,3,4
0x2099...c80c,153,5,1
0x2111...4e84,160,5,1
0x21f2...b313,1004,3,4
0x21f2...b313,1004,3,4
0x21f2...b313,1004,3,4
0x21f2...b313,1004,3,4
0x21fe...7a02,155,5,1
0x22c4...73f0,200,5,1
0x22ee...f933,174,5,1
0x23c7...7f2d,508,4,2
0x23c7...7f2d,508,4,2
0x23e1...795c,150,5,1
0x23f8...0724,150,5,1
0x2411...4949,1042,3,4
0x2411...4949,1042,3,4
0x2411...4949,1042,3,4
0x2411...4949,1042,3,4
0x2443...3332,151,5,1
0x245b...b55c,1018,3,4
0x245b...b55c,1018,3,4
0x245b...b55c,1018,3,4
0x245b...b55c,1018,3,4
0x24aa...ab05,1563,3,6
0x24aa...ab05,1563,3,6
0x24aa...ab05,1563,3,6
0x24aa...ab05,1563,3,6
0x24aa...ab05,1563,3,6
0x24aa...ab05,1563,3,6
0x2521...1a80,500,4,2
0x2521...1a80,500,4,2
0x253b...7131,228,5,1
0x253c...995d,227,5,1
0x25d9...159d,208,5,1
0x25ee...9bbf,296,5,1
0x25ff...895a,1000,3,4
0x25ff...895a,1000,3,4
0x25ff...895a,1000,3,4
0x25ff...895a,1000,3,4
0x2625...869f,1001,3,4
0x2625...869f,1001,3,4
0x2625...869f,1001,3,4
0x2625...869f,1001,3,4
0x2663...5aeb,1027,3,4
0x2663...5aeb,1027,3,4
0x2663...5aeb,1027,3,4
0x2663...5aeb,1027,3,4
0x2669...ec75,1004,3,4
0x2669...ec75,1004,3,4
0x2669...ec75,1004,3,4
0x2669...ec75,1004,3,4
0x26e8...3b08,159,5,1
0x2703...965e,165,5,1
0x277e...933a,150,5,1
0x2820...ad30,213,5,1
0x2863...8031,1201,3,4
0x2863...8031,1201,3,4
0x2863...8031,1201,3,4
0x2863...8031,1201,3,4
0x2967...e311,328,5,1
0x298b...5563,288,5,1
0x298c...466d,523,4,2
0x298c...466d,523,4,2
0x29a2...5f62,150,5,1
0x2a1b...923a,219,5,1
0x2a8b...be2f,150,5,1
0x2ad9...8d14,1010,3,4
0x2ad9...8d14,1010,3,4
0x2ad9...8d14,1010,3,4
0x2ad9...8d14,1010,3,4
0x2af4...b350,1010,3,4
0x2af4...b350,1010,3,4
0x2af4...b350,1010,3,4
0x2af4...b350,1010,3,4
0x2b09...f7e2,187,5,1
0x2b2d...4b9a,500,4,2
0x2b2d...4b9a,500,4,2
0x2bc9...faed,154,5,1
0x2c8c...e80b,1012,3,4
0x2c8c...e80b,1012,3,4
0x2c8c...e80b,1012,3,4
0x2c8c...e80b,1012,3,4
0x2ca0...a558,150,5,1
0x2ce3...1635,503,4,2
0x2ce3...1635,503,4,2
0x2d6c...0116,155,5,1
0x2d7e...fb97,154,5,1
0x2d90...99d4,500,4,2
0x2d90...99d4,500,4,2
0x2da9...f223,1021,3,4
0x2da9...f223,1021,3,4
0x2da9...f223,1021,3,4
0x2da9...f223,1021,3,4
0x2dc4...35e7,1003,3,4
0x2dc4...35e7,1003,3,4
0x2dc4...35e7,1003,3,4
0x2dc4...35e7,1003,3,4
0x2e95...61f2,1307,3,5
0x2e95...61f2,1307,3,5
0x2e95...61f2,1307,3,5
0x2e95...61f2,1307,3,5
0x2e95...61f2,1307,3,5
0x2fbe...373a,500,4,2
0x2fbe...373a,500,4,2
0x3033...d915,1005,3,4
0x3033...d915,1005,3,4
0x3033...d915,1005,3,4
0x3033...d915,1005,3,4
0x3048...fb45,559,4,2
0x3048...fb45,559,4,2
0x308e...e166,156,5,1
0x30ee...19e7,150,5,1
0x3146...af50,1272,3,5
0x3146...af50,1272,3,5
0x3146...af50,1272,3,5
0x3146...af50,1272,3,5
0x3146...af50,1272,3,5
0x3205...b960,150,5,1
0x320c...1145,161,5,1
0x3238...5564,500,4,2
0x3238...5564,500,4,2
0x3243...904c,203,5,1
0x3265...6426,150,5,1
0x32d9...b74e,1008,3,4
0x32d9...b74e,1008,3,4
0x32d9...b74e,1008,3,4
0x32d9...b74e,1008,3,4
0x32e6...154c,505,4,2
0x32e6...154c,505,4,2
0x34cb...1d0d,509,4,2
0x34cb...1d0d,509,4,2
0x34dc...a523,1008,3,4
0x34dc...a523,1008,3,4
0x34dc...a523,1008,3,4
0x34dc...a523,1008,3,4
0x350a...ba66,1027,3,4
0x350a...ba66,1027,3,4
0x350a...ba66,1027,3,4
0x350a...ba66,1027,3,4
0x3567...2dae,500,4,2
0x3567...2dae,500,4,2
0x356a...c5c1,1111,3,4
0x356a...c5c1,1111,3,4
0x356a...c5c1,1111,3,4
0x356a...c5c1,1111,3,4
0x35a1...ce75,1033,3,4
0x35a1...ce75,1033,3,4
0x35a1...ce75,1033,3,4
0x35a1...ce75,1033,3,4
0x35a2...4b81,1758,3,7
0x35a2...4b81,1758,3,7
0x35a2...4b81,1758,3,7
0x35a2...4b81,1758,3,7
0x35a2...4b81,1758,3,7
0x35a2...4b81,1758,3,7
0x35a2...4b81,1758,3,7
0x36e0...52bd,1000,3,4
0x36e0...52bd,1000,3,4
0x36e0...52bd,1000,3,4
0x36e0...52bd,1000,3,4
0x3703...bac0,1000,3,4
0x3703...bac0,1000,3,4
0x3703...bac0,1000,3,4
0x3703...bac0,1000,3,4
0x373b...ce96,151,5,1
0x3769...5c12,500,4,2
0x3769...5c12,500,4,2
0x380d...b101,503,4,2
0x380d...b101,503,4,2
0x3890...3a5c,502,4,2
0x3890...3a5c,502,4,2
0x38ed...7314,150,5,1
0x3950...8fc6,154,5,1
0x3958...f104,150,5,1
0x395d...577e,1000,3,4
0x395d...577e,1000,3,4
0x395d...577e,1000,3,4
0x395d...577e,1000,3,4
0x3986...6f04,154,5,1
0x398e...2a18,151,5,1
0x39a9...586a,1002,3,4
0x39a9...586a,1002,3,4
0x39a9...586a,1002,3,4
0x39a9...586a,1002,3,4
0x3a4a...e3d6,180,5,1
0x3aab...f261,153,5,1
0x3aed...091a,509,4,2
0x3aed...091a,509,4,2
0x3cc1...5dc4,1002,3,4
