ETH Address, Stake, Tier, Participation Weight
0xe82c...b03c,501,4,2
0x88c0...62ab,1000,3,4
0x21fe...7a02,155,5,1
0xa75f...84e9,1012,3,4
0x00e9...d60a,1000,3,4
0x14ed...83a4,1001,3,4
0x725b...924f,1000,3,4
0x2ad9...8d14,1010,3,4
0xcfab...293f,584,4,2
0x8ca9...45d2,1001,3,4
0xd5ae...bc26,1000,3,4
0xc1ef...3e83,157,5,1
0xab5a...de7f,1007,3,4
0x9c3d...7664,1195,3,4
0xfe84...8cb8,1000,3,4
0x8a31...d95d,1012,3,4
0xbcf1...8bf7,1011,3,4
0xd522...4add,1521,3,6
0x9f2a...994b,150,5,1
0x19c5...22a6,1291,3,5
0x608b...dc47,500,4,2
0xcc05...2835,1000,3,4
0xfde6...408b,1202,3,4
0x13f8...8c18,1000,3,4
0x3e37...4664,1017,3,4
0x99eb...8b41,1131,3,4
0x11c4...9142,1007,3,4
0x81dc...b794,1004,3,4
0xd51a...98ff,1002,3,4
0x35a1...ce75,1033,3,4
0x831c...c4e7,1002,3,4
0x89a8...5b0d,246,5,1
0xc205...1bda,1027,3,4
0xcc3c...1710,1013,3,4
0x3cbe...c821,1938,3,7
0x93cf...f568,1010,3,4
0x685c...8bc9,1085,3,4
0xa5bb...ac9a,1422,3,5
0xa40d...1f84,500,4,2
0x36e0...52bd,1000,3,4
0x6932...5424,1000,3,4
0x54ad...5a27,1011,3,4
0x3890...3a5c,502,4,2
0x0e9b...c5df,1000,3,4
0xc4f0...b914,1350,3,5
0x0e4f...e6f8,505,4,2
0xd30c...7967,2175,3,8
0xf097...610e,1000,3,4
0xc115...2021,1000,3,4
0xb117...1432,1035,3,4
0x4d9d...ae22,153,5,1
0x2af4...b350,1010,3,4
0xd2dd...7a40,1000,3,4
0xc96f...6bcb,500,4,2
0x1b05...6d3a,1021,3,4
0xccc2...162d,1053,3,4
0x5890...ace6,1200,3,4
0x007c...f7bc,3999,3,15
0xa1fb...6492,1015,3,4
0x308e...e166,156,5,1
0xaf03...87af,1005,3,4
0x56e5...ad54,166,5,1
0xfbde...b2a2,1002,3,4
0x0916...705f,1008,3,4
0x68da...8e9a,1000,3,4
0x38ed...7314,150,5,1
0x52ea...cd6c,1000,3,4
0x70cc...c649,1000,3,4
0xdb3b...58a4,900,4,2
0x0770...b916,1115,3,4
0x47e9...e670,1002,3,4
0xb104...9d86,512,4,2
0x4b05...7b5c,1250,3,5
0x0e26...dadb,1001,3,4
0x470f...8b95,1038,3,4
0x3aed...091a,509,4,2
0x0474...5a85,1000,3,4
0xb0ca...b203,1010,3,4
0x8f22...f780,3100,3,12
0x9054...3e47,1021,3,4
0x82b4...c00b,150,5,1
0xc445...f9e7,1273,3,5
0x933d...b244,1077,3,4
0x3146...af50,1272,3,5
0x7b56...57a2,1011,3,4
0xb7c3...7821,1250,3,5
0x83f3...e057,503,4,2
0x0102...4825,1010,3,4
0xed6e...e1b4,1000,3,4
0xee5e...d4b4,1007,3,4
0xfdc2...3437,185,5,1
0x5bff...9ef5,163,5,1
0x183e...120e,1006,3,4
0xceb4...0e1c,507,4,2
0xec81...4845,1050,3,4
0x2765...df73,1005,3,4
0x9acf...7817,1304,3,5
0x2863...8031,1201,3,4
0x32e6...154c,505,4,2
0x4cad...f9be,1543,3,6
0xf6c5...c56d,500,4,2
0x7161...120e,153,5,1
0x4fbc...90e1,2029,3,8
0xc2f4...3941,501,4,2
0xc566...162a,1017,3,4
0xf1e2...6129,1001,3,4
0x6641...e72e,1002,3,4
0x24e2...45bf,1019,3,4
0x128c...4d22,1009,3,4
0xdb24...5b4b,151,5,1
0x6437...c60e,1000,3,4
0x5c50...437c,1050,3,4
0x5a01...0760,1000,3,4
0xc757...e677,150,5,1
0xdc05...a5e4,195,5,1
0x8367...dfd4,150,5,1
0x3287...7408,1040,3,4
0x2443...3332,151,5,1
0x4228...9599,157,5,1
0x1755...dcef,1490,3,5
0xf4b0...5bad,518,4,2
0x449e...0cbf,1000,3,4
0xb30f...cb8d,507,4,2
0x80e7...88b7,1001,3,4
0x5c4e...3f72,501,4,2
0x2cd8...4b67,1018,3,4
0x5037...62ce,158,5,1
0x4660...9980,1549,3,6
0x8932...fa21,1000,3,4
0x6f83...ab5c,151,5,1
0x87f5...a695,1033,3,4
0x5142...5013,503,4,2
0x3d16...f0e2,1000,3,4
0xb223...9f2c,150,5,1
0x6dd7...6b3e,153,5,1
0xc600...127e,1008,3,4
0x7fd6...a1e4,153,5,1
0xdcfa...cae3,507,4,2
0x79f1...cb4c,1001,3,4
0x2fbe...373a,500,4,2
0xaf69...58ca,1000,3,4
0x7e1f...962c,1072,3,4
0xac0b...e903,1000,3,4
0x4af5...13e9,501,4,2
0xb5ba...3d8a,153,5,1
0x98a6...ae5a,1505,3,6
0x99f6...a375,1006,3,4
0xf642...95e8,510,4,2
0x197c...9ffa,1059,3,4
0x6282...4f88,500,4,2
0xcfbe...cf5c,1042,3,4
0x84be...7abd,1000,3,4
0xf6d6...4f9c,507,4,2
0x5d7a...b491,1000,3,4
0x0bc4...34b5,1000,3,4
0x7ef4...5370,1554,3,6
0x2625...869f,1001,3,4
0x02c2...b179,1000,3,4
0x4828...2276,3421,3,13
0xdf36...da54,1025,3,4
0xefbb...3f86,1000,3,4
0xae9e...8da4,1004,3,4
0xeb61...507e,501,4,2
0x9084...9723,175,5,1
0xc6e1...0d97,1000,3,4
0x2521...1a80,500,4,2
0xb327...856d,831,4,2
0xf65c...879a,2355,3,9
0x4ebe...1893,1001,3,4
0x998b...8f12,150,5,1
0x85a1...2418,1000,3,4
0xd6a5...ba07,501,4,2
0x14c3...2a56,1035,3,4
0x9ec3...d999,1009,3,4
0x4ffb...8afc,150,5,1
0x43ba...7162,1014,3,4
0x2bc9...faed,154,5,1
0x4fa8...0133,1884,3,7
0xbbb9...b813,153,5,1
0x7cbd...d05d,2001,3,8
0x5072...9de1,1069,3,4
0x0062...6468,1000,3,4
0xe859...05af,501,4,2
0x4614...b23a,1000,3,4
0xb6fb...bb62,1032,3,4
0xc17a...7828,1240,3,4
0x5d0d...f2ab,1027,3,4
0xe011...5b54,1000,3,4
0x9057...9185,170,5,1
0x33d7...9ab7,1014,3,4
0xc29c...9496,153,5,1
0x966a...11be,594,4,2
0x69cf...1b6e,1035,3,4
0x73b6...82f8,1026,3,4
0x0538...91b2,1000,3,4
0xd740...7371,1008,3,4
0xf775...dbe8,151,5,1
0x32d9...b74e,1008,3,4
0x22ee...f933,174,5,1
0x81e3...4f5f,1000,3,4
0xf896...b911,540,4,2
0xb187...a919,506,4,2
0xb9a4...9a77,1001,3,4
0x25ff...895a,1000,3,4
0x4c78...e5b3,600,4,2
0x7362...4b22,1000,3,4
0x1efa...9253,1019,3,4
0x1190...b27f,1000,3,4
0x6997...64fd,1021,3,4
0xe9d8...fda3,1038,3,4
0x4ee0...3d17,1005,3,4
0x084a...09f1,1058,3,4
0xce1b...87c6,150,5,1
0x4e70...711e,150,5,1
0x4a9c...cb66,151,5,1
0x1fa2...4869,1001,3,4
0xfa7d...e3ac,3659,3,14
0x8c4c...dd4e,1016,3,4
0xb57b...35c8,763,4,2
0x422c...c5dd,1000,3,4
0x1e80...86bc,1026,3,4
0xf43f...8117,150,5,1
0xdb49...5476,155,5,1
0xb880...bacd,1000,3,4
0xb8d1...87ae,1113,3,4
0x0710...8e5a,1080,3,4
0x8a42...be70,150,5,1
0x55a0...77e1,150,5,1
0xdf59...84e5,150,5,1
0x39a9...586a,1002,3,4
0x9c53...3a13,515,4,2
0x5e88...2818,2260,3,9
0x9617...d0de,1000,3,4
0xeda4...eed9,1414,3,5
0xa7e4...7c43,1006,3,4
0x4448...07ee,1036,3,4
0x0955...26c1,168,5,1
0x9424...d9dc,1013,3,4
0x1167...9a78,1059,3,4
0x6ad0...ffdc,1008,3,4
0x4db1...8220,160,5,1
0xb132...3ec5,1000,3,4
0xdaab...4363,501,4,2
0x22bf...bba8,1026,3,4
0x4f2e...4360,1150,3,4
0x5be2...f5bf,1024,3,4
0xc459...4102,153,5,1
0x4ced...32d6,669,4,2
0xf21c...5cc8,1001,3,4
0x298c...466d,523,4,2
0xc74d...77f0,1000,3,4
0x11c7...b2e0,500,4,2
0xf3b4...ebe6,2100,3,8
0xf18c...e9ff,1003,3,4
0xc91a...c971,150,5,1
0x8f23...3e2f,3500,3,14
0x0a5c...cc22,1511,3,6
0x6b12...5328,151,5,1
0x9dee...9927,1001,3,4
0xc32c...e8eb,1003,3,4
0x087f...554b,1328,3,5
0xf692...425e,1020,3,4
0x7abe...b945,1004,3,4
0x4254...b20f,1000,3,4
0x8e97...00e8,501,4,2
0xff86...9e49,1000,3,4
0xa4a7...f3e6,1001,3,4
0xe472...9029,1009,3,4
0xdc72...54ae,1000,3,4
0x1961...1a0b,1143,3,4
0x7463...0124,1046,3,4
0x787d...e18e,1000,3,4
0x3a96...f08c,1001,3,4
0xbcfd...a7ff,1559,3,6
0x680a...05be,504,4,2
0x07c9...f109,1000,3,4
0x6725...264b,500,4,2
0xce6c...6894,1000,3,4
0xd114...b6c4,1369,3,5
0x05b1...0b31,1059,3,4
0x684f...eefd,501,4,2
0x197f...7d4b,1104,3,4
0x1dc1...8a20,151,5,1
0xccd9...f58e,515,4,2
0xe719...18a5,1066,3,4
0x9fb7...a1c3,506,4,2
0x49cb...ca2b,1000,3,4
0xa91b...05e6,1012,3,4
0xbf05...0b9e,1013,3,4
0x3703...bac0,1000,3,4
0x0f17...bb46,150,5,1
0x60ad...2f3b,500,4,2
0xcf73...77e5,1000,3,4
0x9f03...4dd8,1015,3,4
0xea16...8af3,1007,3,4
0xbd84...6a35,1000,3,4
0x7c0d...2e22,223,5,1
0x0249...cb1b,500,4,2
0x9530...6cfa,510,4,2
0x0fcc...ddda,500,4,2
0x8ceb...f1ee,1064,3,4
0x7457...93f4,1000,3,4
0x0cbf...d692,1109,3,4
0xb307...46ab,200,5,1
0xd434...bc86,1150,3,4
0xa227...b143,1000,3,4
0xcbfd...ceb4,1012,3,4
0x12e6...e14d,1577,3,6
0xce77...2799,666,4,2
0x25d9...159d,208,5,1
0x5242...8620,152,5,1
0x2e95...61f2,1307,3,5
0xb133...4f3a,183,5,1
0xb737...a2a4,1000,3,4
0x9264...e2d8,1001,3,4
0x40b5...a863,1010,3,4
0x395d...577e,1000,3,4
0x77ad...18ac,1000,3,4
0xed42...dc6d,1016,3,4
0xbe20...a76d,150,5,1
0xb463...22c9,500,4,2
0xae4f...8373,150,5,1
0x00e3...2b8a,1016,3,4
0xb6ae...e316,160,5,1
0xd0f5...7912,1015,3,4
0x4886...b25d,551,4,2
0xb0e5...6ab8,150,5,1
0x7cdd...a398,1000,3,4
0xc515...29e3,150,5,1
0x0693...522e,1002,3,4
0xb7e0...7c5c,1003,3,4
0xbbdd...9f3a,539,4,2
0x2111...4e84,160,5,1
0xcf4e...daac,1007,3,4
0x3e30...1708,502,4,2
0x1db8...02cd,151,5,1
0xc37e...2ca7,1000,3,4
0x0748...c8cd,212,5,1
0x6b2b...fb65,1016,3,4
0x23e1...795c,150,5,1
0x754a...e5c1,1553,3,6
0xf9b0...4532,1068,3,4
0x0836...f2e8,150,5,1
0x4e65...c954,1000,3,4
0xcebf...4c32,515,4,2
0xeb00...11c3,1010,3,4
0xa57c...0d73,1001,3,4
0x844e...b353,502,4,2
0x914d...0774,504,4,2
0x0548...4660,1200,3,4
0x118e...d504,500,4,2
0x736c...c7b5,501,4,2
0xf710...439e,150,5,1
0x8dba...6a76,151,5,1
0xabdb...e5cf,214,5,1
0x6265...c58a,1151,3,4
0x356a...c5c1,1111,3,4
0x2d90...99d4,500,4,2
0xad36...2b36,1072,3,4
0x29a2...5f62,150,5,1
0x7b10...cba6,1000,3,4
0x6ac6...680b,1000,3,4
0x9121...39f5,1010,3,4
0x3aab...f261,153,5,1
0xdeb2...7a87,1001,3,4
0xa417...fb07,1002,3,4
0x7b76...95f0,1001,3,4
0x4e9c...6d06,150,5,1
0x13f9...865f,1007,3,4
0x8c7f...4619,154,5,1
0x3c50...489c,1012,3,4
0xa796...cec3,160,5,1
0xb17d...d97e,1001,3,4
0x7e0b...2b29,1000,3,4
0xe0c2...5e2b,2750,3,11
0x4327...5a3a,210,5,1
0x507e...5d3b,150,5,1
0xa442...cc21,150,5,1
0xbdaf...6b90,520,4,2
0x5358...76fc,1045,3,4
0xd8d0...4477,181,5,1
0x4225...20da,1000,3,4
0xee0b...f39f,1500,3,6
0xc840...a3d0,1000,3,4
0x3265...6426,150,5,1
0x5661...7eeb,1652,3,6
0x467d...ae69,160,5,1
0x4e54...69bf,1000,3,4
0xb73a...4568,503,4,2
0x6bcb...a42a,150,5,1
0x6625...ca6a,1086,3,4
0x4db9...cf27,1000,3,4
0x868e...b7e6,501,4,2
0xdfa8...24db,1001,3,4
0x350a...ba66,1027,3,4
0xcf38...0683,168,5,1
0xdb7d...1c42,1798,3,7
0xfa51...4dff,1033,3,4
0xac79...7ea1,1016,3,4
0xc03c...923c,150,5,1
0xf50e...c8e0,511,4,2
0xc63a...48f6,500,4,2
0xa082...18f9,1000,3,4
0x5280...0120,500,4,2
0xde67...8aa3,189,5,1
0xf5d6...610f,1000,3,4
0x3cc1...5dc4,1002,3,4
0xf375...c5f2,150,5,1
0xbdcb...0e9d,502,4,2
0x88f3...a870,150,5,1
0x0752...c807,1007,3,4
0x495e...d23b,175,5,1
0x2dc4...35e7,1003,3,4
0xc9e6...a009,500,4,2
0x65ac...117f,1000,3,4
0x556a...21f2,1011,3,4
0x0cb0...59c8,503,4,2
0x8d4d...b01a,150,5,1
0x9722...747f,503,4,2
0x63a5...4c74,1001,3,4
0xfea8...e23f,1335,3,5
0x942b...6dfd,150,5,1
0xee15...420b,1006,3,4
0xacbb...0e5a,522,4,2
0x4590...662b,157,5,1
0x77e3...3026,150,5,1
0x6371...23fb,1013,3,4
0x1f91...05b9,1000,3,4
0x34dc...a523,1008,3,4
0x242f...5d18,1000,3,4
0x732d...b2a7,1000,3,4
0x83a3...a3be,1057,3,4
0xed41...40c6,150,5,1
0x1682...4efb,1019,3,4
0x0559...cdbf,500,4,2
0x354f...63d4,1053,3,4
0x2099...c80c,153,5,1
0x8e2b...6c01,204,5,1
0x4f83...e1b6,1013,3,4
0x2411...4949,1042,3,4
0xf072...a872,1000,3,4
0x512e...8fa3,514,4,2
0x277e...933a,150,5,1
0x7c11...8a44,1006,3,4
0xf890...837a,1489,3,5
0xe73e...0f6f,166,5,1
0xf582...329b,1883,3,7
0x16c8...5d07,507,4,2
0xe712...526a,510,4,2
0xc4dc...7c7d,505,4,2
0xbb6b...3db4,516,4,2
0x1643...fb98,1020,3,4
0x85b8...c928,1095,3,4
0xd4f1...b713,1021,3,4
0x0c4a...15ba,1000,3,4
0xb9fd...1c40,1001,3,4
0x46db...df70,513,4,2
0x4a51...6b04,503,4,2
0x00f3...131b,1000,3,4
0x97ec...6050,500,4,2
0x5f25...e745,1004,3,4
0x67a8...2eb6,503,4,2
0xd3ae...77e7,1004,3,4
0x2d7e...fb97,154,5,1
0xdf2a...e9a8,152,5,1
0x1c9d...adc5,1089,3,4
