ETH Address, Stake, Tier, Participation Weight
0x70e3...3ab5,200,5,1
0x7355...4faa,3279,3,13
0x86ef...3197,154,5,1
0xc6f2...5c99,264,5,1
0x6b9b...1b58,500,4,2
0x6932...1424,224,5,1
0x8016...c8b6,500,4,2
0x3a96...f08c,154,5,1
0x39a9...586a,500,4,2
0x71b0...1e3b,1431,3,5
0x72c4...a91a,1521,3,6
0x874c...bb22,500,4,2
0xfd78...8601,1013,3,4
0x5be2...f5bf,151,5,1
0x1c72...d414,510,4,2
0x7843...26e8,150,5,1
0x1ae9...456a,1013,3,4
0xc66f...f707,500,4,2
0x7b76...95f0,1001,3,4
0xd32f...41a8,1005,3,4
0x68c3...c44c,153,5,1
0xdc84...b2cf,155,5,1
0x61f4...75d3,1002,3,4
0x57fb...cbbb,2006,3,8
0x68da...8e9a,1000,3,4
0xc022...9a08,524,4,2
0x7121...cdbb,166,5,1
0x5358...76fc,547,4,2
0x18bb...9b0c,1000,3,4
0xec02...6be1,1002,3,4
0x32be...1f8c,165,5,1
0x2f54...4c1d,158,5,1
0x116e...524a,1525,3,6
0x9a7d...0b1d,1000,3,4
0x6710...9ae7,150,5,1
0x7ef4...5370,1554,3,6
0xbaf5...7541,150,5,1
0xecea...2647,723,4,2
0x05b2...0711,150,5,1
0x5d12...d317,500,4,2
0x1920...6546,1933,3,7
0xa19e...69cc,160,5,1
0x87d2...07b0,500,4,2
0x42e2...fb22,1000,3,4
0x80a2...8592,150,5,1
0xa525...597a,500,4,2
0xc280...22f9,1003,3,4
0x5bc9...3f35,3431,3,13
0x239d...d963,1019,3,4
0x43d9...1e62,1001,3,4
0xf8d5...cdf4,500,4,2
0xd1cb...ad5a,1004,3,4
0xcb8c...f9f4,170,5,1
0x1efa...9253,179,5,1
0xeb42...ba24,500,4,2
0x7358...bfea,694,4,2
0x3769...5c12,500,4,2
0xf002...dd0e,150,5,1
0x3a7b...47ce,150,5,1
0xa76e...ee61,505,4,2
0x9a86...3bb1,152,5,1
0x55fe...c104,401,5,1
0xe859...05af,501,4,2
0x0d97...56d1,150,5,1
0xb31a...4ced,519,4,2
0x6c14...92b0,1507,3,6
0x0717...a857,1000,3,4
0xf64d...09b0,243,5,1
0x1785...bbdd,1005,3,4
0x426a...0d36,150,5,1
0xee83...b793,1001,3,4
0x5bd0...eb8e,500,4,2
0x49cb...d672,3383,3,13
0xefb9...5ea0,1000,3,4
0x4f6d...8b7d,1000,3,4
0x7a01...6b01,253,5,1
0x04e3...2bda,2016,3,8
0x138f...e1b3,1005,3,4
0xafa4...462c,510,4,2
0x2381...ce3b,1001,3,4
0x3bb1...b618,1000,3,4
0xc06f...bb07,1099,3,4
0x0cbf...d692,265,5,1
0x0972...3913,1008,3,4
0x0ada...b347,876,4,2
0xecdd...be7d,2556,3,10
0x50fb...dac3,580,4,2
0xe35a...b073,514,4,2
0x68b3...16db,674,4,2
0x7acc...b39e,173,5,1
0xdc9a...ba80,384,5,1
0x4dd5...e932,2421,3,9
0xad36...2b36,1072,3,4
0x5e39...7efb,1034,3,4
0x0b52...a134,156,5,1
0x3f14...c569,1500,3,6
0x214c...4931,1557,3,6
0x6538...604c,1010,3,4
0x6625...ca6a,786,4,2
0xe4c0...140c,219,5,1
0x54ad...5a27,265,5,1
0xfb10...af44,2015,3,8
0x7367...1907,1000,3,4
0x8e16...dcc4,1001,3,4
0xb2e1...efd2,1119,3,4
0xe382...6171,229,5,1
0x787d...e18e,151,5,1
0x4b62...e603,2000,3,8
0x37b0...ced3,2527,3,10
0xb29d...3a3b,1001,3,4
0x303d...8d8f,501,4,2
0x02ab...51fd,178,5,1
0xab9b...fb4f,504,4,2
0x92ca...192d,1230,3,4
0x7410...0ad1,179,5,1
0xdbbc...6399,151,5,1
0xfea8...e23f,1213,3,4
0x87fb...69aa,188,5,1
0xeb35...a5ac,2020,3,8
0xfa9d...ca46,150,5,1
0x9be4...bcae,500,4,2
0x34e2...fe50,1250,3,5
0x42bb...0a2b,1000,3,4
0xcfab...293f,500,4,2
0x121d...c702,157,5,1
0x9166...a24f,150,5,1
0x2050...8d64,1000,3,4
0x9e13...8215,1000,3,4
0x0e26...dadb,1001,3,4
0xd2f1...9a08,163,5,1
0xe43e...4f8f,160,5,1
0x514a...a250,1001,3,4
0x8a8a...c796,1002,3,4
0x947f...74d2,2263,3,9
0x0382...9c73,1002,3,4
0x51bd...dd53,199,5,1
0x5796...002b,1206,3,4
0xbecb...1621,156,5,1
0xb7a1...1253,1278,3,5
0xd2b7...2679,1000,3,4
0x933d...b244,1077,3,4
0x544c...fa76,1007,3,4
0xf890...837a,1489,3,5
0xc347...a611,1002,3,4
0x796b...180c,151,5,1
0x5834...286a,1027,3,4
0x7c8d...0e83,335,5,1
0xd0f5...7912,1015,3,4
0x90b7...fd0b,536,4,2
0x6d6d...8855,518,4,2
0x5967...a437,1011,3,4
0x38e8...2d08,150,5,1
0xbd5d...4bdb,150,5,1
0x3c7b...b82c,1001,3,4
0xf0a2...3e07,151,5,1
0x301e...d2c2,160,5,1
0x7b56...57a2,511,4,2
0xb0b4...d83a,155,5,1
0x1ca8...1f2a,151,5,1
0x6a6e...f147,1005,3,4
0x6d36...e513,1003,3,4
0x27a4...3780,1013,3,4
0x35a2...4b81,1503,3,6
0x218e...5460,501,4,2
0xa8d1...c116,501,4,2
0x8f86...0fb2,1315,3,5
0x2663...5aeb,1027,3,4
0xc54b...b891,150,5,1
0x3562...a82a,500,4,2
0x4fbc...90e1,2029,3,8
0xc627...ca7e,1250,3,5
0x0a08...ac33,154,5,1
0x89a8...5b0d,246,5,1
0x8647...d6df,1000,3,4
0xe8fb...8a09,510,4,2
0x9b8e...6f68,156,5,1
0x8ed4...1786,1003,3,4
0x0fdd...e2f7,150,5,1
0x6b12...5328,151,5,1
0xceae...035c,1500,3,6
0x4ac4...47b4,527,4,2
0xe5c2...4a4c,2056,3,8
0xb676...c44c,1000,3,4
0xe8a9...a146,1004,3,4
0xef30...1f02,1084,3,4
0xc32c...e8eb,1003,3,4
0x1a01...4981,1005,3,4
0x919c...5a42,353,5,1
0x6f29...28bc,500,4,2
0xf738...3767,502,4,2
0xa099...dbce,1000,3,4
0xf53b...eac1,503,4,2
0x19c5...22a6,1005,3,4
0xf0a4...fa37,1222,3,4
0x573f...9ce1,150,5,1
0x5cad...a5bd,151,5,1
0x7e1f...962c,1072,3,4
0x7591...c6e2,1001,3,4
0xb306...5985,1277,3,5
0xcf28...d82e,151,5,1
0x8883...7d25,1002,3,4
0x5ee6...39b0,161,5,1
0x0a5c...cc22,1511,3,6
0x73e5...48a7,502,4,2
0x59f7...ccd8,1008,3,4
0x5ac6...231e,1007,3,4
0x4cd8...1cda,667,4,2
0xdce2...6197,206,5,1
0xc4f0...b914,1350,3,5
0x5bff...9ef5,163,5,1
0xe12d...cfc9,277,5,1
0x9121...39f5,510,4,2
0x011d...fc83,1000,3,4
0xcf0b...b798,501,4,2
0x8cf6...ba5b,500,4,2
0xa198...c58a,2571,3,10
0xc8ec...a778,1001,3,4
0x5b5d...9c27,513,4,2
0xa649...a400,150,5,1
0x197f...7d4b,1104,3,4
0x1644...e7c7,1731,3,6
0x60a7...cac4,1059,3,4
0xcd10...2fa9,525,4,2
0x64e1...9c8b,150,5,1
0x1114...2c00,153,5,1
0xaaab...bf32,150,5,1
0x63bb...56c8,345,5,1
0xb307...46ab,200,5,1
0x48fa...dff7,2000,3,8
0x7619...e538,257,5,1
0x4f2e...4360,1120,3,4
0x18a4...0c7f,300,5,1
0x15d1...5b39,500,4,2
0x4e7d...34e0,510,4,2
0xba34...3390,509,4,2
0x1c9e...9cb8,1008,3,4
0x258f...0dac,158,5,1
0xf7e1...38f6,1005,3,4
0x97c5...07e3,155,5,1
0x1d7a...f400,500,4,2
0x5722...9e5f,1001,3,4
0x52eb...a9b3,1000,3,4
0xc2cb...6a78,506,4,2
0xa4bd...4695,502,4,2
0x1519...8303,591,4,2
0xd24d...53fa,1002,3,4
0x0cf4...a9fa,1083,3,4
0x60e1...34b0,1000,3,4
0xce77...2799,666,4,2
0x583a...6b47,177,5,1
0x0538...91b2,1000,3,4
0xdbe9...80dc,1000,3,4
0x922a...622d,1033,3,4
0xe6ec...ea5b,500,4,2
0xbce5...0150,300,5,1
0xc898...7792,2083,3,8
0x60ad...2f3b,500,4,2
0xbeaf...1313,500,4,2
0x6762...3fac,501,4,2
0xda19...7fea,150,5,1
0xaee9...f049,500,4,2
0x148a...e04e,1002,3,4
0x00d1...adfe,1096,3,4
0xe059...86dc,1000,3,4
0xa677...bf0d,1000,3,4
0xd5ea...6b0d,150,5,1
0x6cf2...eb3d,1569,3,6
0xc582...c106,150,5,1
0xbcae...8472,500,4,2
0xb3cf...155c,1000,3,4
0xace8...7488,151,5,1
0xfaca...8884,1740,3,6
0x2319...35a6,2511,3,10
0x8bee...8b06,1321,3,5
0xc583...5d5c,1008,3,4
0x5602...0428,2109,3,8
0xa70b...86dd,2514,3,10
0x2f67...03b9,500,4,2
0xeb61...507e,501,4,2
0x7463...0124,1046,3,4
0xe0c2...5e2b,2750,3,11
0xe92a...9ed0,154,5,1
0x300c...3461,1006,3,4
0x844e...b353,170,5,1
0x153a...2c7c,151,5,1
0xc06a...99a0,1656,3,6
0x02c2...b179,1000,3,4
0xcf5e...dacf,1300,3,5
0x9ca3...b36a,154,5,1
0xf16b...35b3,523,4,2
0x15e6...fbea,250,5,1
0x2ce3...1635,503,4,2
0x7557...ee51,150,5,1
0xf21c...5cc8,1001,3,4
0xab99...3e0f,1000,3,4
0x9d2e...bbe6,500,4,2
0x8810...c89f,500,4,2
0x0ed1...87a0,150,5,1
0xf984...b8a2,1000,3,4
0x6046...7e57,1004,3,4
0xee7c...9990,1004,3,4
0x579a...d5e5,1002,3,4
0xd9c9...67d9,692,4,2
0x43a0...0043,151,5,1
0x1dc1...8a20,151,5,1
0x12e6...e14d,1437,3,5
0xbb0d...755c,500,4,2
0xd039...2831,576,4,2
0x980b...53a2,1000,3,4
0xf82c...278f,1250,3,5
0x1eaf...aace,1236,3,4
0x972f...661f,1000,3,4
0xdde3...ca35,1670,3,6
0x13e0...95b3,150,5,1
0xba88...4c57,1001,3,4
0x4cc4...800b,683,4,2
0x3fb4...a8e4,1001,3,4
0xf421...ca7a,500,4,2
0x6100...9ebf,513,4,2
0x6d34...e4a4,515,4,2
0xb0aa...f848,340,5,1
0x85b8...c928,1095,3,4
0x197f...7955,150,5,1
0x77b0...2640,502,4,2
0xbfa3...36e3,1003,3,4
0x6198...0ed3,500,4,2
0x79f9...0b84,1001,3,4
0xfbd0...c2b1,179,5,1
0x7357...4c4f,1290,3,5
0xa1f9...9609,1201,3,4
0x9f13...fef5,209,5,1
0x1151...315a,1086,3,4
0xe1d8...c2cf,1000,3,4
0x4e7d...3fd0,502,4,2
0x83a3...a3be,1057,3,4
0x4717...d944,1002,3,4
0x4ced...32d6,418,5,1
0x1917...53b8,1000,3,4
0x4ecd...fa70,151,5,1
0x5c5d...bcb4,515,4,2
