ETH Address, Stake, Tier, Participation Weight
0x005c...c6ed,156,5,1
0x0099...208b,1001,3,4
0x0099...208b,1001,3,4
0x0099...208b,1001,3,4
0x0099...208b,1001,3,4
0x00c1...6ad0,209,5,1
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00f3...131b,500,4,2
0x00f3...131b,500,4,2
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x0130...363c,195,5,1
0x0177...7f45,375,5,1
0x01c2...ffd0,508,4,2
0x01c2...ffd0,508,4,2
0x01ed...c55e,506,4,2
0x01ed...c55e,506,4,2
0x0217...d69f,150,5,1
0x0223...b8b4,1000,3,4
0x0223...b8b4,1000,3,4
0x0223...b8b4,1000,3,4
0x0223...b8b4,1000,3,4
0x025a...69dc,285,5,1
0x0290...2271,155,5,1
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02d9...c6f7,168,5,1
0x0308...b9d0,1027,3,4
0x0308...b9d0,1027,3,4
0x0308...b9d0,1027,3,4
0x0308...b9d0,1027,3,4
0x03a0...3184,1009,3,4
0x03a0...3184,1009,3,4
0x03a0...3184,1009,3,4
0x03a0...3184,1009,3,4
0x03c6...4f17,175,5,1
0x03d4...401e,500,4,2
0x03d4...401e,500,4,2
0x0447...b988,1003,3,4
0x0447...b988,1003,3,4
0x0447...b988,1003,3,4
0x0447...b988,1003,3,4
0x045d...e696,150,5,1
0x0474...5a85,1000,3,4
0x0474...5a85,1000,3,4
0x0474...5a85,1000,3,4
0x0474...5a85,1000,3,4
0x04c1...a1aa,1021,3,4
0x04c1...a1aa,1021,3,4
0x04c1...a1aa,1021,3,4
0x04c1...a1aa,1021,3,4
0x04cd...0762,160,5,1
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x0500...b9c4,2265,3,9
0x051a...29d7,500,4,2
0x051a...29d7,500,4,2
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0548...4660,1200,3,4
0x0548...4660,1200,3,4
0x0548...4660,1200,3,4
0x0548...4660,1200,3,4
0x057e...99fb,164,5,1
