ETH Address,Stake,Tier,Participation
0xb737...a2a4,1000,3,4
0xcad3...700b,1013,3,4
0x43ba...7162,1014,3,4
0x53cf...31e7,1002,3,4
0x3dba...e310,1000,3,4
0xa417...fb07,1002,3,4
0x00e9...d60a,1000,3,4
0xd30c...7967,2175,3,8
0xf20f...1906,1006,3,4
0x52ce...122c,510,4,2
0xbf80...32a1,150,5,1
0x03d4...401e,500,4,2
0x2099...c80c,153,5,1
0xf8f6...b764,1057,3,4
0xee15...420b,1006,3,4
0x00e9...d60a,1000,3,4
0xb7e0...7c5c,1003,3,4
0xfde6...408b,1002,3,4
0xfd78...8601,1250,3,5
0xb6ae...e316,160,5,1
0x3dba...e310,1000,3,4
0x159d...02fd,1022,3,4
0x76f3...03db,150,5,1
0xc723...3890,151,5,1
0xb0ba...e57e,150,5,1
0x39a9...586a,1002,3,4
0xf18c...e9ff,1003,3,4
0x8011...d0bb,150,5,1
0xdbfb...5acf,552,4,2
0xb29d...3a3b,1001,3,4
0x6ac6...680b,1000,3,4
0x0f9f...bd3b,1258,3,5
0x5142...5013,503,4,2
0x6b30...b9f1,150,5,1
0x00ac...d697,2081,3,8
0x4362...c417,1001,3,4
0xcc52...25f3,540,4,2
0x41f2...e9b7,1000,3,4
0xa728...b4f6,501,4,2
0x57fb...cbbb,2006,3,8
0xb0aa...f848,340,5,1
0xadda...928b,291,5,1
0x6f66...e856,1095,3,4
0x2348...35e1,1040,3,4
0xf3cc...48b3,1016,3,4
0xc1de...41b7,520,4,2
0x7463...0124,1046,3,4
0x31de...e7c8,157,5,1
0x1045...28ac,1001,3,4
0x360f...cc95,1000,3,4
0x0687...0643,150,5,1
0x8558...e58c,1019,3,4
0x54ad...5a27,1011,3,4
0x758b...6378,150,5,1
0xe180...f95c,2562,3,10
0x97a8...cd95,1219,3,4
0x6625...ca6a,1086,3,4
0xa94e...83d9,1002,3,4
0xeaf5...0fe1,500,4,2
0x2ad9...8d14,1010,3,4
0x69d2...eb80,1529,3,6
0xf5d6...610f,1000,3,4
0x6eb4...03e4,2000,3,8
0xacf1...53c2,159,5,1
0x0a5c...cc22,1511,3,6
0x4627...bba3,1029,3,4
0xe8b5...fab0,1000,3,4
0x97a8...cd95,1219,3,4
0xc9e6...a009,500,4,2
0xdf5d...2989,381,5,1
0x4f24...3c59,1010,3,4
0x5c70...5992,1004,3,4
0xcee4...68aa,1005,3,4
0x0f9f...bd3b,1258,3,5
0xc840...a3d0,1000,3,4
0x57fb...cbbb,2006,3,8
0xe8b5...fab0,1000,3,4
0xc583...5d5c,1008,3,4
0xdb3b...58a4,1001,3,4
0x9054...3e47,1021,3,4
0xbe4b...7b74,151,5,1
0xdf3f...0404,1000,3,4
0x9de2...5a61,521,4,2
0x6229...c742,1002,3,4
0x253b...7131,228,5,1
0x6997...64fd,1021,3,4
0x197f...7d4b,1104,3,4
0x210f...0d7a,155,5,1
0xa9f4...6a6d,662,4,2
0x090c...5f2c,1021,3,4
0x42e2...fb22,1000,3,4
0x0f85...c617,505,4,2
0x1785...bbdd,1005,3,4
0x9221...dfef,150,5,1
0x21f2...b313,1004,3,4
0x5be2...f5bf,531,4,2
0x8bfb...2558,1007,3,4
0x1920...6546,1955,3,7
0x26da...c726,1094,3,4
0x4006...6d15,157,5,1
0xb6fb...bb62,1032,3,4
0x9096...0b40,509,4,2
0x831c...c4e7,1002,3,4
0x6046...7e57,1007,3,4
0x6046...7e57,1007,3,4
0x9003...76d2,154,5,1
0xb117...1432,1035,3,4
0xfe84...8cb8,1000,3,4
0xe0c2...5e2b,2750,3,11
0xc697...5e0e,1007,3,4
0x5967...a437,1011,3,4
0x2239...8d3e,152,5,1
0x4393...1d4e,1000,3,4
0x99f6...a375,1006,3,4
0xa275...6335,1007,3,4
0x754a...e5c1,1553,3,6
0x4f50...4815,1005,3,4
