ETH Address, Stake, Tier, Participation Weight
0xdf2e...dc80,1000,3,4
0x2765...df73,1005,3,4
0xe509...2421,500,4,2
0x0752...c807,1007,3,4
0x2070...ea34,1000,3,4
0x3a26...2ddd,1000,3,4
0x5d94...bc0a,1453,3,5
0xae9e...8da4,1004,3,4
0xa417...fb07,1002,3,4
0xeb20...6eaa,1000,3,4
0xd491...cd7d,1001,3,4
0x87f5...a695,1033,3,4
0x121d...c702,157,5,1
0xaf03...87af,1005,3,4
0x3bd2...5e17,515,4,2
0x2c5d...809e,2067,3,8
0xbce5...0150,1000,3,4
0xd2e8...b7d1,1000,3,4
0x831c...c4e7,1002,3,4
0x70cc...c649,1000,3,4
0x2d90...99d4,1500,3,6
0x0ebf...cced,1026,3,4
0xe5c2...4a4c,2134,3,8
0x090c...5f2c,1070,3,4
0xfaf2...d1c6,1000,3,4
0xdb7d...1c42,3000,3,12
0x12fb...df48,1000,3,4
0x7e0b...2b29,1000,3,4
0x8a87...ef98,1000,3,4
0x3fea...f831,1007,3,4
0x3238...5564,500,4,2
0x4ffb...8afc,150,5,1
0x581b...c615,500,4,2
0xdaa4...d794,505,4,2
0xa5cb...0e06,538,4,2
0x32d5...5c8e,1002,3,4
0x4393...1d4e,1000,3,4
0x1755...dcef,1755,3,7
0x084a...09f1,1058,3,4
0x90a1...0ac8,500,4,2
0x7934...be39,1118,3,4
0xc17a...7828,1240,3,4
0x431b...32b6,1000,3,4
0x00e9...d60a,1000,3,4
0x4327...5a3a,505,4,2
0x5535...1ff8,1742,3,6
0x9424...d9dc,1013,3,4
0xd522...4add,1521,3,6
0x39a9...586a,1002,3,4
0x4ba1...213e,1010,3,4
0x7302...2f16,516,4,2
0xa227...b143,1000,3,4
0x5b90...80b1,1002,3,4
0x5775...52fb,153,5,1
0x354f...63d4,1053,3,4
0x9a63...9976,156,5,1
0x05b1...0b31,1059,3,4
0x78d0...ba97,1013,3,4
0x373b...ce96,1001,3,4
0x5e88...2818,2260,3,9
0xfb07...c3f8,1001,3,4
0xee53...22bc,1002,3,4
0x1270...0069,213,5,1
0xa52e...8cf5,1060,3,4
0xaaab...bf32,150,5,1
0x2820...ad30,213,5,1
0xf5b1...8229,1003,3,4
0x6bc1...fd7f,1000,3,4
0x185d...e3e6,526,4,2
0x80e7...88b7,1501,3,6
0xbbdd...9f3a,1009,3,4
0xb57b...35c8,1005,3,4
0x17a5...1eed,1011,3,4
0x68da...8e9a,1000,3,4
0xa442...cc21,150,5,1
0x2c8c...e80b,1012,3,4
0x2967...e311,328,5,1
0x8dd9...c661,585,4,2
0x197f...7d4b,1104,3,4
0x1b32...bd0b,1014,3,4
0x77ad...18ac,1000,3,4
0x5be2...f5bf,1024,3,4
0xfde6...408b,1000,3,4
0x63a5...4c74,1001,3,4
0x58a5...3c5e,1003,3,4
0x2689...9245,150,5,1
0xb00f...0791,1050,3,4
0x2fd0...9666,1046,3,4
0x627b...2909,1030,3,4
0xf3cc...48b3,1016,3,4
0xf4b5...0e48,1006,3,4
0x2c6a...d472,1013,3,4
0xa728...b4f6,1001,3,4
0x6932...5424,1000,3,4
0xf6d6...4f9c,1014,3,4
0x9a77...8faa,1000,3,4
0x0f82...ed0b,505,4,2
0x082c...c878,1020,3,4
0xa91b...05e6,1012,3,4
0x46db...df70,513,4,2
0x892e...d4b4,1000,3,4
0xbf80...32a1,150,5,1
0xc32c...e8eb,1003,3,4
0x3a87...5732,1010,3,4
0xe235...0800,1276,3,5
0x6ee7...e89c,1441,3,5
0x27d2...dc53,1101,3,4
0x3d7f...8383,1257,3,5
0xf355...4ad8,1064,3,4
0xbe68...d837,500,4,2
0xb478...2349,1059,3,4
0x7a01...6b01,504,4,2
0x933d...b244,1077,3,4
0xd5ae...bc26,1000,3,4
0x5a01...0760,1000,3,4
0x82f6...b872,1010,3,4
0x32d9...b74e,1008,3,4
0xc6f1...c520,1010,3,4
0xd3ae...77e7,1004,3,4
0xe011...5b54,1000,3,4
0x1f1f...4b6e,154,5,1
0xed42...dc6d,1016,3,4
0x09f8...aa41,150,5,1
0x5142...5013,503,4,2
0x8ae7...b9e5,1020,3,4
0xd740...7371,1008,3,4
0xe771...b807,1107,3,4
0xe4e3...e70c,1384,3,5
0x59d4...15fb,497,5,1
