ETH Address, Tier, Wave, Is Promoted, Is CoolOff
0x01b6...26ed,2,1,false,false
0x045e...e40f,1,1,false,false
0x04c1...a1aa,2,1,false,false
0x05fc...ae42,2,1,false,false
0x0675...1ce7,1,1,false,false
0x0710...8e5a,1,1,false,false
0x0a16...68d5,2,1,false,false
0x0aa4...9580,2,1,false,false
0x0ae2...df34,2,1,false,false
0x0af2...df53,2,1,false,false
0x0b26...870f,2,1,false,false
0x0c4a...15ba,2,1,false,false
0x0f22...1319,1,1,false,false
0x0f9c...3713,2,1,false,false
0x112c...b22d,2,1,false,false
0x136d...9224,1,1,false,false
0x13d6...45ce,2,1,false,false
0x140d...2551,2,1,false,false
0x14d4...ca76,2,1,false,false
0x14e2...359c,1,1,false,false
0x1683...ed7a,1,1,false,false
0x1846...4c19,2,1,false,false
0x1899...bd88,1,1,false,false
0x189f...e2c2,1,1,false,false
0x18ed...5316,2,1,false,false
0x1920...6546,2,1,false,false
0x197c...9ffa,2,1,false,false
0x19c7...d063,2,1,false,false
0x1aa0...cabe,1,1,false,false
0x1b95...4358,2,1,false,false
0x1c3b...423a,1,1,false,false
0x1c4c...fb48,1,1,false,false
0x1c78...fbbc,1,1,false,false
0x1d36...b5e5,2,1,false,false
0x1d71...6578,2,1,false,false
0x1efa...9253,2,1,false,false
0x2020...5ebf,2,1,false,false
0x22a1...bfee,1,1,false,false
0x2348...35e1,2,1,false,false
0x23d3...5936,3,1,true,false
0x2590...bed8,1,1,false,false
0x2609...6a99,1,1,false,false
0x2625...869f,1,1,false,false
0x26d1...6f19,2,1,false,false
0x2842...58f2,1,1,false,false
0x28ab...f9fe,2,1,false,false
0x28cd...821f,2,1,false,false
0x28ea...daef,2,1,false,false
0x2992...3513,1,1,false,false
0x2a51...92bb,1,1,false,false
0x2a9b...b53b,1,1,false,false
0x2afd...47c4,2,1,false,false
0x2b2d...4b9a,2,1,false,false
0x2ca0...a558,4,1,true,false
0x2f18...754f,2,1,false,false
0x302d...5ade,4,1,true,false
0x305b...641a,2,1,false,false
0x308f...d709,2,1,false,false
0x335f...2953,2,1,false,false
0x33d7...9ab7,2,1,false,false
0x349b...2c09,1,1,false,false
0x34b7...d0bc,2,1,false,false
0x34bb...9cdc,2,1,false,false
0x3557...42cf,2,1,false,false
0x3696...3484,1,1,false,false
0x3743...fc74,1,1,false,false
0x3833...a4ed,1,1,false,false
0x390a...9c26,2,1,false,false
0x3b7b...7245,2,1,false,false
0x3ba8...236a,2,1,false,false
0x3c7e...9319,1,1,false,false
0x3e14...8584,2,1,false,false
0x3f90...33e8,2,1,false,false
0x40d2...8087,2,1,false,false
0x4468...9a57,2,1,false,false
0x446b...e1d0,2,1,false,false
0x453c...eea8,1,1,false,false
0x460a...f449,2,1,false,false
0x4614...b23a,2,1,false,false
0x4627...bba3,2,1,false,false
0x4753...fb44,2,1,false,false
0x4828...2276,2,1,false,false
0x4cec...941e,2,1,false,false
0x4e9d...74bc,1,1,false,false
0x4ece...36f9,2,1,false,false
0x4ede...05a4,2,1,false,false
0x4f24...3c59,2,1,false,false
0x4f2e...4360,2,1,false,false
0x4f55...22cf,1,1,false,false
0x4fa8...0133,2,1,false,false
0x4fbe...ed8e,1,1,false,false
0x4ffa...7a06,2,1,false,false
0x50ab...b943,2,1,false,false
0x5111...728d,1,1,false,false
0x5138...78a7,1,1,false,false
0x519b...b32e,2,1,false,false
0x5394...42d8,2,1,false,false
0x5487...a2d9,2,1,false,false
0x56e6...4dad,2,1,false,false
0x5793...cf95,1,1,false,false
0x5834...286a,2,1,false,false
0x5849...9de5,2,1,false,false
0x58ab...85b3,2,1,false,false
0x59d0...f3dc,2,1,false,false
0x5a54...fd18,1,1,false,false
0x5c24...1d6b,1,1,false,false
0x5c98...e3cb,2,1,false,false
0x5d1a...b6e3,2,1,false,false
0x5d2a...f05e,2,1,false,false
0x5f67...cc32,2,1,false,false
0x6022...8516,1,1,false,false
0x61e2...ebf1,2,1,false,false
0x61eb...4828,1,1,false,false
0x61f4...75d3,2,1,false,false
0x6229...c742,2,1,false,false
0x6265...c58a,2,1,false,false
0x6413...f1b5,1,1,false,false
0x679d...ebfe,2,1,false,false
0x6829...27ca,1,1,false,false
0x685c...8bc9,1,1,false,false
0x6980...f2d8,2,1,false,false
0x69cf...4919,2,1,false,false
0x6b24...2c4e,2,1,false,false
0x6cc7...50f3,1,1,false,false
0x6e19...e51d,2,1,false,false
0x6ecf...c043,2,1,false,false
0x7026...6653,2,1,false,false
0x7082...4452,1,1,false,false
0x70d6...ce77,2,1,false,false
0x712c...fc55,1,1,false,false
0x7176...0acd,2,1,false,false
0x724a...186e,1,1,false,false
0x7286...756f,2,1,false,false
0x73e6...f6d4,2,1,false,false
0x7433...dbfa,2,1,false,false
0x74c6...0785,2,1,false,false
0x74f8...48da,1,1,false,false
0x760e...e8fe,2,1,false,false
0x76c4...265d,1,1,false,false
0x7775...f052,2,1,false,false
0x77a6...8baf,1,1,false,false
0x77cc...c4d6,2,1,false,false
0x782d...3ede,1,1,false,false
0x7841...8dbc,2,1,false,false
0x799d...f5bc,2,1,false,false
0x7acc...b39e,2,1,false,false
0x7af7...38ca,2,1,false,false
0x7c06...e713,2,1,false,false
0x7cfa...1551,2,1,false,false
0x7d90...29f0,2,1,false,false
0x7d96...e3b7,2,1,false,false
0x7f49...e6a3,2,1,false,false
0x7f8f...7cb0,1,1,false,false
0x7fe8...5246,1,1,false,false
0x81c8...8a2d,2,1,false,false
0x82b7...369e,2,1,false,false
0x8393...307a,2,1,false,false
0x85cc...82dd,2,1,false,false
0x8642...9d49,2,1,false,false
0x864c...7766,2,1,false,false
0x8664...0ce7,1,1,false,false
0x873a...fc90,1,1,false,false
0x8a78...7eac,2,1,false,false
0x8bfb...2558,2,1,false,false
0x8d23...b0a7,1,1,false,false
0x8e73...dce3,1,1,false,false
0x8f23...3e2f,2,1,false,false
0x9143...1c1a,2,1,false,false
0x921e...8e90,2,1,false,false
0x948f...2811,1,1,false,false
0x9652...eb10,2,1,false,false
0x976d...7cf4,1,1,false,false
0x97cd...f050,2,1,false,false
0x980b...53a2,2,1,false,false
0x9878...d0e3,2,1,false,false
0x9885...4289,1,1,false,false
0x989c...860a,1,1,false,false
0x98d4...5990,2,1,false,false
0x9902...d2d7,2,1,false,false
0x9a6a...f025,2,1,false,false
0x9ca4...ccbf,1,1,false,false
0x9e12...8bc7,2,1,false,false
0xa0ac...013d,2,1,false,false
0xa147...2a70,2,1,false,false
0xa198...c58a,2,1,false,false
0xa1e8...552b,2,1,false,false
0xa2dc...697b,1,1,false,false
0xa415...0fcd,2,1,false,false
0xa50e...9273,1,1,false,false
0xa5aa...3954,2,1,false,false
0xa677...bf0d,1,1,false,false
0xa70b...86dd,2,1,false,false
0xa7f6...d05c,2,1,false,false
0xa8c6...cb40,2,1,false,false
0xa9a4...e2d6,1,1,false,false
0xaac1...0ef1,2,1,false,false
0xace1...f82d,2,1,false,false
0xad9d...1fb3,2,1,false,false
0xb026...36b6,2,1,false,false
0xb02d...67c1,2,1,false,false
0xb117...1432,1,1,false,false
0xb1ce...74e1,2,1,false,false
0xb264...5b98,1,1,false,false
0xb33b...e7f1,1,1,false,false
0xb347...2dec,1,1,false,false
0xb53d...f7b6,1,1,false,false
0xb598...038c,1,1,false,false
0xb5c6...23cc,2,1,false,false
0xb6ba...b371,2,1,false,false
0xb6e1...14c9,1,1,false,false
0xb7bb...c1bd,2,1,false,false
0xb82f...a4cf,2,1,false,false
0xb9ce...f2ea,1,1,false,false
0xba17...186f,2,1,false,false
0xba6d...72c5,2,1,false,false
0xbaf7...c406,2,1,false,false
0xbc3f...475b,2,1,false,false
0xbc78...9599,2,1,false,false
0xbcb2...3729,2,1,false,false
0xbcfd...a7ff,2,1,false,false
0xbd4c...0150,2,1,false,false
0xbd78...afaa,2,1,false,false
0xbe75...c376,1,1,false,false
0xbeee...a3d0,1,1,false,false
0xbf27...241c,2,1,false,false
0xbf5c...c282,2,1,false,false
0xbf98...ba62,2,1,false,false
0xbfa3...36e3,2,1,false,false
0xbfad...ad6c,2,1,false,false
0xc115...2021,2,1,false,false
0xc19f...27a7,2,1,false,false
0xc1c4...dc51,2,1,false,false
0xc21c...7447,2,1,false,false
0xc287...08ed,2,1,false,false
0xc2cb...6a78,1,1,false,false
0xc4f5...d074,2,1,false,false
0xc5f1...8a0a,2,1,false,false
0xc804...5a0a,1,1,false,false
0xc876...10b7,2,1,false,false
0xcad2...7d9b,1,1,false,false
0xcad3...700b,2,1,false,false
0xcae3...4b49,1,1,false,false
