ETH Address, Stake, Tier, Participation Weight
0xf53b...eac1,503,4,2
0xfe39...eb37,684,4,2
0x3806...86a2,151,5,1
0x9a7d...0b1d,1000,3,4
0x97a8...cd95,1006,3,4
0xe180...f95c,1013,3,4
0xf39e...4b18,712,4,2
0xb7a1...1253,1278,3,5
0x52eb...a9b3,1000,3,4
0x3278...f1d0,150,5,1
0xab61...b14e,508,4,2
0x1fa2...4869,625,4,2
0x8ceb...f1ee,1009,3,4
0xdf53...8101,160,5,1
0xb29d...3a3b,1001,3,4
0x725b...924f,1000,3,4
0x6669...9f99,150,5,1
0xc06f...bb07,1099,3,4
0xe5cc...9f4e,1050,3,4
0x86ef...3197,154,5,1
0x30dd...e5f6,190,5,1
0x5d12...d317,500,4,2
0xf80c...d6ca,155,5,1
0xa81d...2ba5,165,5,1
0xd166...61ec,961,4,2
0x608b...dc47,500,4,2
0xe0c2...5e2b,2750,3,11
0x2994...68ad,152,5,1
0x9264...e2d8,1001,3,4
0x214c...4931,1557,3,6
0xb8c9...082e,1800,3,7
0xf3f1...0239,507,4,2
0xee83...b793,1001,3,4
0xeb35...a5ac,2020,3,8
0x2f18...754f,1787,3,7
0xd30c...7967,1006,3,4
0xcc3c...1710,1013,3,4
0x8ed4...1786,1003,3,4
0x810f...93bb,1000,3,4
0xf7e1...38f6,1005,3,4
0xb8d1...87ae,1113,3,4
0x4393...1d4e,1000,3,4
0x32e9...2017,1103,3,4
0x579a...d5e5,1002,3,4
0xc898...7792,2083,3,8
0x8635...ae37,1005,3,4
0x4b05...7b5c,1250,3,5
0x0ed1...87a0,150,5,1
0xb0aa...f848,340,5,1
0x514a...a250,1001,3,4
0x1899...bd88,1021,3,4
0x0f3a...5353,1002,3,4
0xcc24...f19b,213,5,1
0x967b...8273,151,5,1
0x4cfb...8855,223,5,1
0x300c...3461,1006,3,4
0xf3d7...853e,150,5,1
0x71b0...1e3b,1431,3,5
0xe235...0800,408,5,1
0x947f...74d2,2263,3,9
0x1644...e7c7,1731,3,6
0x6cce...29fc,500,4,2
