ETH Address, Tier, Wave, Is Promoted
0x007c...f7bc,1,1,false
0x0324...5df3,2,1,false
0x0367...6e84,1,1,false
0x039e...37d9,1,1,false
0x04a7...5e6d,1,1,false
0x04f8...bb6e,1,1,false
0x0826...177e,2,1,false
0x0827...b724,2,1,false
0x0862...de9c,2,1,false
0x0901...2aeb,2,1,false
0x09e0...9f43,2,1,false
0x09ff...bbf6,2,1,false
0x0a16...68d5,2,1,false
0x0c09...a31d,1,1,false
0x0c21...4fa5,2,1,false
0x0c7b...9b00,1,1,false
0x0ea7...8db3,2,1,false
0x0f22...1319,2,1,false
0x1092...bb6a,2,1,false
0x111a...bc54,2,1,false
0x112c...b22d,2,1,false
0x12ce...d467,1,1,false
0x138f...e1b3,2,1,false
0x1552...eb2c,2,1,false
0x189f...e2c2,2,1,false
0x1940...bf33,1,1,false
0x197e...9c07,2,1,false
0x1a34...da29,2,1,false
0x1a7f...03df,1,1,false
0x1aa0...cabe,1,1,false
0x1b82...fb84,2,1,false
0x1b95...4358,2,1,false
0x1c78...fbbc,2,1,false
0x1cc1...dff9,2,1,false
0x1df3...2a7a,2,1,false
0x1fa4...db84,2,1,false
0x2050...8d64,2,1,false
0x206d...d805,2,1,false
0x21ec...4b85,2,1,false
0x22a1...bfee,2,1,false
0x239d...d963,2,1,false
0x253e...e5a1,2,1,false
0x2669...1f14,2,1,false
0x2693...61d3,1,1,false
0x278d...589b,1,1,false
0x278f...0ae2,1,1,false
0x27d1...492c,2,1,false
0x2842...58f2,2,1,false
0x2954...36c9,2,1,false
0x2992...3513,1,1,false
0x2a9b...b53b,2,1,false
0x2b17...3403,2,1,false
0x2be5...96ef,1,1,false
0x2d59...2d3f,2,1,false
0x2ea8...0297,2,1,false
0x3149...757d,2,1,false
0x32e3...a02a,1,1,false
0x32eb...7245,1,1,false
0x335f...2953,2,1,false
0x33f6...833f,1,1,false
0x3537...e0de,2,1,false
0x3557...42cf,2,1,false
0x35e0...646b,2,1,false
0x36b9...2ec2,2,1,false
0x3743...fc74,2,1,false
0x390a...9c26,2,1,false
0x396b...d2aa,2,1,false
0x3a40...9abc,2,1,false
0x3a4b...1b99,2,1,false
0x3a87...b2ab,2,1,false
0x3b97...05ef,2,1,false
0x3c73...7905,2,1,false
0x3d0d...c426,2,1,false
0x3e1c...1f43,2,1,false
0x3f90...33e8,2,1,false
0x40c6...cef9,2,1,false
0x40d2...8087,2,1,false
0x415c...87e4,1,1,false
0x421f...5fe1,2,1,false
0x423b...a194,2,1,false
0x43db...e302,2,1,false
0x4468...9a57,2,1,false
0x4490...5916,2,1,false
0x4532...b992,2,1,false
0x4567...b605,2,1,false
0x4753...fb44,2,1,false
0x48fa...dff7,2,1,false
0x4a40...e1d7,2,1,false
0x4b62...e603,2,1,false
0x4c7c...67cc,2,1,false
0x4c96...5da4,2,1,false
0x4d05...780f,2,1,false
0x4d9d...3e36,2,1,false
0x4e2f...1721,2,1,false
0x4ece...36f9,2,1,false
0x50ab...b943,2,1,false
0x5232...820f,1,1,false
0x52ee...26a5,2,1,false
0x5320...84d9,2,1,false
0x54e0...e12a,2,1,false
0x577c...2b77,2,1,false
0x5878...6f5c,1,1,false
0x58ec...a015,2,1,false
0x5a01...0760,2,1,false
0x5a54...fd18,2,1,false
0x5ab2...fc44,2,1,false
0x5c83...7081,2,1,false
0x5d66...5c82,2,1,false
0x5e39...7efb,2,1,false
0x5e4e...3632,2,1,false
0x5e9c...b10c,2,1,false
0x5fb8...e0fa,2,1,false
0x6046...7e57,2,1,false
0x60e1...34b0,2,1,false
0x61eb...4828,2,1,false
0x61eb...c710,2,1,false
0x6364...9b44,2,1,false
0x6413...f1b5,2,1,false
0x658e...ba82,2,1,false
0x65a4...cf3d,2,1,false
0x65d4...42de,1,1,false
0x6651...d384,1,1,false
0x66d8...2494,2,1,false
0x6895...e65f,2,1,false
0x6934...9345,2,1,false
0x6a96...a288,1,1,false
0x6b92...1e47,1,1,false
0x6eb4...03e4,2,1,false
0x6f30...9242,2,1,false
0x6f36...60ad,1,1,false
0x7243...a9b5,2,1,false
0x726a...c047,2,1,false
0x7286...756f,2,1,false
0x72c4...a91a,2,1,false
0x73db...209a,1,1,false
0x73e6...f6d4,2,1,false
0x7433...dbfa,2,1,false
0x74c6...0785,2,1,false
0x751a...4bd2,1,1,false
0x7543...d011,2,1,false
0x75b1...0aae,1,1,false
0x766b...401c,2,1,false
0x77a6...8baf,2,1,false
0x780d...d263,2,1,false
0x79e4...695c,2,1,false
0x7af7...38ca,2,1,false
0x7bb7...f889,2,1,false
0x7cda...2a6f,2,1,false
0x7d9a...ec8e,2,1,false
