ETH Address, Stake, Tier, Participation Weight
0x0052...52c1,500,4,2
0x0052...52c1,500,4,2
0x005c...c6ed,504,4,2
0x005c...c6ed,504,4,2
0x006f...60ee,152,5,1
0x007e...eb8f,1002,3,4
0x007e...eb8f,1002,3,4
0x007e...eb8f,1002,3,4
0x007e...eb8f,1002,3,4
0x00ac...d697,1000,3,4
0x00ac...d697,1000,3,4
0x00ac...d697,1000,3,4
0x00ac...d697,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00e9...d60a,1000,3,4
0x00ed...c2b6,502,4,2
0x00ed...c2b6,502,4,2
0x00f3...131b,1000,3,4
0x00f3...131b,1000,3,4
0x00f3...131b,1000,3,4
0x00f3...131b,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x011d...fc83,1000,3,4
0x0130...363c,195,5,1
0x01ed...c55e,506,4,2
0x01ed...c55e,506,4,2
0x0223...b8b4,1000,3,4
0x0223...b8b4,1000,3,4
0x0223...b8b4,1000,3,4
0x0223...b8b4,1000,3,4
0x025a...69dc,285,5,1
0x0290...2271,155,5,1
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02c2...b179,1000,3,4
0x02d9...c6f7,168,5,1
0x0308...b9d0,1027,3,4
0x0308...b9d0,1027,3,4
0x0308...b9d0,1027,3,4
0x0308...b9d0,1027,3,4
0x0386...e998,201,5,1
0x03c6...4f17,282,5,1
0x03d4...401e,500,4,2
0x03d4...401e,500,4,2
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x0451...44d7,1501,3,6
0x045d...e696,150,5,1
0x0466...be97,546,4,2
0x0466...be97,546,4,2
0x0474...5a85,1000,3,4
0x0474...5a85,1000,3,4
0x0474...5a85,1000,3,4
0x0474...5a85,1000,3,4
0x0483...65de,152,5,1
0x04c1...a1aa,1021,3,4
0x04c1...a1aa,1021,3,4
0x04c1...a1aa,1021,3,4
0x04c1...a1aa,1021,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x0538...91b2,1000,3,4
0x057e...99fb,164,5,1
0x058a...b4e1,151,5,1
0x0602...185b,154,5,1
0x0687...0643,150,5,1
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x0693...522e,1002,3,4
0x06a6...ad35,150,5,1
0x06be...e5eb,1040,3,4
0x06be...e5eb,1040,3,4
0x06be...e5eb,1040,3,4
0x06be...e5eb,1040,3,4
0x0717...a857,1000,3,4
0x0717...a857,1000,3,4
0x0717...a857,1000,3,4
0x0717...a857,1000,3,4
0x0748...c8cd,212,5,1
0x0752...c807,501,4,2
0x0752...c807,501,4,2
0x076a...bf30,1004,3,4
0x076a...bf30,1004,3,4
0x076a...bf30,1004,3,4
0x076a...bf30,1004,3,4
0x0776...3829,169,5,1
0x082c...c878,151,5,1
0x0836...f2e8,150,5,1
0x0837...d50f,152,5,1
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x087f...554b,1328,3,5
0x0885...9526,183,5,1
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x090c...5f2c,1021,3,4
0x0955...26c1,168,5,1
0x0972...3913,1008,3,4
0x0972...3913,1008,3,4
0x0972...3913,1008,3,4
0x0972...3913,1008,3,4
0x099d...eb38,152,5,1
0x09a7...0070,2490,3,9
0x09a7...0070,2490,3,9
0x09a7...0070,2490,3,9
0x09a7...0070,2490,3,9
0x09a7...0070,2490,3,9
0x09a7...0070,2490,3,9
0x09a7...0070,2490,3,9
